condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
High Stress - High Cog,HS–HW,stress,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.3299508370332377,0.08046199862547429,0.25388414551659105,29
High Stress - High Cog,HS–HW,workload,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.010569833165321965,0.956602210100528,0.956602210100528,29
High Stress - Low Cog,HS–LW,stress,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,-0.0681423326026643,0.7063276011839603,0.7063276011839603,33
High Stress - Low Cog,HS–LW,workload,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.039600405660197756,0.826804968995096,0.826804968995096,33
Low Stress - High Cog,LS–HW,stress,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.30662960411351925,0.08263095786726654,0.20424995227354314,33
Low Stress - High Cog,LS–HW,workload,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.02869037193126715,0.8740698265176304,0.9398487934821702,33
Low Stress - Low Cog,LS–LW,stress,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,0.3101889855531955,0.08402589545420122,0.11203452727226829,32
Low Stress - Low Cog,LS–LW,workload,gsr_skin_conductance_eda_peakarea_nk_full_change_precond_Z,EDA,-0.05795468040962046,0.7527140955025728,0.7527140955025728,32
High Stress - High Cog,HS–HW,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,0.29004748561576377,0.12694207275829553,0.25388414551659105,29
High Stress - High Cog,HS–HW,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,-0.011085434783142549,0.9544873614889233,0.956602210100528,29
High Stress - Low Cog,HS–LW,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,-0.10314348111073256,0.5678675926871826,0.7063276011839603,33
High Stress - Low Cog,HS–LW,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,0.15027846250536583,0.40385681484149116,0.826804968995096,33
Low Stress - High Cog,LS–HW,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,0.2895852507753434,0.10212497613677157,0.20424995227354314,33
Low Stress - High Cog,LS–HW,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,0.013662081872031976,0.9398487934821702,0.9398487934821702,33
Low Stress - Low Cog,LS–LW,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,0.31720934377298193,0.07689016025197945,0.11203452727226829,32
Low Stress - Low Cog,LS–LW,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z,EDA,-0.08050296442751137,0.6613954403580338,0.7527140955025728,32
High Stress - High Cog,HS–HW,stress,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.12861658914683388,0.5312008642417707,0.5312008642417707,26
High Stress - High Cog,HS–HW,workload,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,-0.19562525083195656,0.3381959222113958,0.6763918444227917,26
High Stress - Low Cog,HS–LW,stress,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.07175112483078588,0.6963585192794686,0.7063276011839603,32
High Stress - Low Cog,HS–LW,workload,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.09434380537941744,0.607528966092798,0.826804968995096,32
Low Stress - High Cog,LS–HW,stress,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.20588228784727214,0.2503634957749886,0.2503634957749886,33
Low Stress - High Cog,LS–HW,workload,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,-0.05089125497331911,0.7785127079818892,0.9398487934821702,33
Low Stress - Low Cog,LS–LW,stress,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.22206501526798153,0.22188420204389583,0.22188420204389583,32
Low Stress - Low Cog,LS–LW,workload,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z,EDA,0.11460491463638771,0.5322511867277055,0.7527140955025728,32
High Stress - High Cog,HS–HW,stress,gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond_Z,EDA,-0.14985670901567888,0.3625256900503474,0.48336758673379654,39
High Stress - High Cog,HS–HW,workload,gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond_Z,EDA,0.26386022281862204,0.10456693357484774,0.41826773429939096,39
