subset,rating,feature,rmcorr_r,p_raw,n_pairs,p_fdr,sig
Low workload,stress,hrv_rmssd_full_change_precond,0.043856431395553445,0.7854184623445009,80,0.7854184623445009,
Low workload,stress,hr_heartrate_bpm_med_abs_full_change_precond,0.5073507768072587,7.101802291156837e-4,80,0.002840720916462735,**
Low workload,stress,gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,0.5904078100024256,6.0668480712762134e-5,78,4.8534784570209707e-4,***
Low workload,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,0.43841512072700256,0.012076602518326335,62,0.03220427338220356,*
Low workload,stress,eeg_fm_theta_mean_full_change_precond,0.06322758713124409,0.6945209718887526,80,0.7854184623445009,
Low workload,stress,eeg_f_beta_mean_full_change_precond,0.2665470844053214,0.09206907779076087,80,0.15808471731552573,
Low workload,stress,eeg_p_alpha_mean_full_change_precond,0.1585557658714917,0.32210720028017037,80,0.4294762670402271,
Low workload,stress,pupil_dilation_med_full_change_precond,0.26471089174947293,0.09880294832220357,78,0.15808471731552573,
High workload,stress,hrv_rmssd_full_change_precond,0.24279668213278663,0.12612338984172877,80,0.19839079396013137,
High workload,stress,hr_heartrate_bpm_med_abs_full_change_precond,0.23779535510883323,0.13436353272135299,80,0.19839079396013137,
High workload,stress,gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,0.5730932286149915,1.1107996694896763e-4,78,8.88639735591741e-4,***
High workload,stress,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,0.4696547973528041,0.010154741820810798,56,0.04061896728324319,*
High workload,stress,eeg_fm_theta_mean_full_change_precond,0.2668547205272399,0.0916801240638264,80,0.19839079396013137,
High workload,stress,eeg_f_beta_mean_full_change_precond,0.17249280946536386,0.28083519933776385,80,0.32095451352887294,
High workload,stress,eeg_p_alpha_mean_full_change_precond,0.22956019793601162,0.14879309547009853,80,0.19839079396013137,
High workload,stress,pupil_dilation_med_full_change_precond,0.1364568411475074,0.3949256615565485,80,0.3949256615565485,
Low stress,workload,hrv_rmssd_full_change_precond,0.10981858890332162,0.4942860800919362,80,0.7958704910205512,
Low stress,workload,hr_heartrate_bpm_med_abs_full_change_precond,-0.012197245009182314,0.9396673819670207,80,0.9396673819670207,
Low stress,workload,gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,0.36421245658350293,0.020864509139534495,78,0.16691607311627596,
Low stress,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,0.12443620796085543,0.4974190568878445,62,0.7958704910205512,
Low stress,workload,eeg_fm_theta_mean_full_change_precond,0.11708699827407397,0.4659707508270289,80,0.7958704910205512,
Low stress,workload,eeg_f_beta_mean_full_change_precond,0.07059850758851449,0.660937482982145,80,0.8812499773095267,
Low stress,workload,eeg_p_alpha_mean_full_change_precond,0.04230015894447191,0.7928631957028994,80,0.9061293665175993,
Low stress,workload,pupil_dilation_med_full_change_precond,0.15589356417200942,0.3304023620465105,80,0.7958704910205512,
High stress,workload,hrv_rmssd_full_change_precond,-0.0500604185226333,0.7559335719719327,80,0.9346724468355603,
High stress,workload,hr_heartrate_bpm_med_abs_full_change_precond,-0.03710603587722979,0.8178383909811153,80,0.9346724468355603,
High stress,workload,gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,-0.07553608698427682,0.6431879871264155,78,0.9346724468355603,
High stress,workload,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,-0.11287101576293279,0.5599200308005169,56,0.9346724468355603,
High stress,workload,eeg_fm_theta_mean_full_change_precond,-0.006140641281625763,0.969605046680434,80,0.969605046680434,
High stress,workload,eeg_f_beta_mean_full_change_precond,0.20920921552235372,0.18926813925900662,80,0.9346724468355603,
High stress,workload,eeg_p_alpha_mean_full_change_precond,-0.03814508454755813,0.8128271920261834,80,0.9346724468355603,
High stress,workload,pupil_dilation_med_full_change_precond,0.1604753647460605,0.32257423214528314,78,0.9346724468355603,
