Participant_ID,Condition,FrontalLeft_Delta_Power,FrontalLeft_Theta_Power,FrontalLeft_LowAlpha_Power,FrontalLeft_HighAlpha_Power,FrontalLeft_LowBeta_Power,FrontalLeft_HighBeta_Power,FrontalLeft_Alpha_Power,FrontalLeft_Beta_Power,FrontalRight_Delta_Power,FrontalRight_Theta_Power,FrontalRight_LowAlpha_Power,FrontalRight_HighAlpha_Power,FrontalRight_LowBeta_Power,FrontalRight_HighBeta_Power,FrontalRight_Alpha_Power,FrontalRight_Beta_Power,OverallFrontal_Delta_Power,OverallFrontal_Theta_Power,OverallFrontal_LowAlpha_Power,OverallFrontal_HighAlpha_Power,OverallFrontal_LowBeta_Power,OverallFrontal_HighBeta_Power,OverallFrontal_Alpha_Power,OverallFrontal_Beta_Power,TemporalLeft_Delta_Power,TemporalLeft_Theta_Power,TemporalLeft_LowAlpha_Power,TemporalLeft_HighAlpha_Power,TemporalLeft_LowBeta_Power,TemporalLeft_HighBeta_Power,TemporalLeft_Alpha_Power,TemporalLeft_Beta_Power,TemporalRight_Delta_Power,TemporalRight_Theta_Power,TemporalRight_LowAlpha_Power,TemporalRight_HighAlpha_Power,TemporalRight_LowBeta_Power,TemporalRight_HighBeta_Power,TemporalRight_Alpha_Power,TemporalRight_Beta_Power,Temporal_Delta_Power,Temporal_Theta_Power,Temporal_LowAlpha_Power,Temporal_HighAlpha_Power,Temporal_LowBeta_Power,Temporal_HighBeta_Power,Temporal_Alpha_Power,Temporal_Beta_Power,Central_Delta_Power,Central_Theta_Power,Central_LowAlpha_Power,Central_HighAlpha_Power,Central_LowBeta_Power,Central_HighBeta_Power,Central_Alpha_Power,Central_Beta_Power,ParietalLeft_Delta_Power,ParietalLeft_Theta_Power,ParietalLeft_LowAlpha_Power,ParietalLeft_HighAlpha_Power,ParietalLeft_LowBeta_Power,ParietalLeft_HighBeta_Power,ParietalLeft_Alpha_Power,ParietalLeft_Beta_Power,ParietalRight_Delta_Power,ParietalRight_Theta_Power,ParietalRight_LowAlpha_Power,ParietalRight_HighAlpha_Power,ParietalRight_LowBeta_Power,ParietalRight_HighBeta_Power,ParietalRight_Alpha_Power,ParietalRight_Beta_Power,Parietal_Delta_Power,Parietal_Theta_Power,Parietal_LowAlpha_Power,Parietal_HighAlpha_Power,Parietal_LowBeta_Power,Parietal_HighBeta_Power,Parietal_Alpha_Power,Parietal_Beta_Power,Occipital_Delta_Power,Occipital_Theta_Power,Occipital_LowAlpha_Power,Occipital_HighAlpha_Power,Occipital_LowBeta_Power,Occipital_HighBeta_Power,Occipital_Alpha_Power,Occipital_Beta_Power,FrontalMidline_Delta_Power,FrontalMidline_Theta_Power,FrontalMidline_LowAlpha_Power,FrontalMidline_HighAlpha_Power,FrontalMidline_LowBeta_Power,FrontalMidline_HighBeta_Power,FrontalMidline_Alpha_Power,FrontalMidline_Beta_Power,Frontal_Alpha_Asymmetry,Alpha_Beta_Ratio,Theta_Beta_Ratio,RightFrontal_Alpha,Theta_Alpha_Ratio,FrontalLeft_SampleEntropy,FrontalLeft_SpectralEntropy,FrontalRight_SampleEntropy,FrontalRight_SpectralEntropy,OverallFrontal_SampleEntropy,OverallFrontal_SpectralEntropy,TemporalLeft_SampleEntropy,TemporalLeft_SpectralEntropy,TemporalRight_SampleEntropy,TemporalRight_SpectralEntropy,Temporal_SampleEntropy,Temporal_SpectralEntropy,Central_SampleEntropy,Central_SpectralEntropy,ParietalLeft_SampleEntropy,ParietalLeft_SpectralEntropy,ParietalRight_SampleEntropy,ParietalRight_SpectralEntropy,Parietal_SampleEntropy,Parietal_SpectralEntropy,Occipital_SampleEntropy,Occipital_SpectralEntropy,FrontalMidline_SampleEntropy,FrontalMidline_SpectralEntropy,Full_Response_Count,Full_Response_Rate_per_min,Full_Mean_Response_Latency_sec,Full_Response_Accuracy,Full_Response_Correct,Full_Response_Incorrect,Full_Response_Usable,Full_RMSSD,Full_Polar_HeartRate_BPM_CLEANED_ABS_Median,Full_Polar_HeartRate_BPM_CLEANED_ABS_Mean,Full_Polar_HeartRate_BPM_CLEANED_ABS_SD,Full_Polar_HeartRate_RR_Interval_CLEANED_ABS_Median,Full_Polar_HeartRate_RR_Interval_CLEANED_ABS_Mean,Full_Polar_HeartRate_RR_Interval_CLEANED_ABS_SD,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_Median,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_Mean,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_SD,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_Tonic_Mean,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_Tonic_SD,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_PeakRate,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_PeakHeight_Mean,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_PeakHeight_Max,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_PeakHeight_Median,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_PeakArea,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_TotalSCRs,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_MeaningfulSCRs,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_EDA_ProportionMeaningful,Full_Shimmer_D36A_GSR_Skin_Conductance_uS_CLEANED_ABS_CLEANED_NK_LowVar_Flag,Full_Foveal_Corrected_Dilation_Left_CLEANED_ABS_Median,Full_Foveal_Corrected_Dilation_Left_CLEANED_ABS_Mean,Full_Foveal_Corrected_Dilation_Left_CLEANED_ABS_SD,Full_Foveal_Corrected_Dilation_Right_CLEANED_ABS_Median,Full_Foveal_Corrected_Dilation_Right_CLEANED_ABS_Mean,Full_Foveal_Corrected_Dilation_Right_CLEANED_ABS_SD,Full_Inter_Blink_Interval_CLEANED_ABS_Median,Full_Inter_Blink_Interval_CLEANED_ABS_Mean,Full_Inter_Blink_Interval_CLEANED_ABS_SD,Full_Current_Blink_Duration_CLEANED_ABS_Median,Full_Current_Blink_Duration_CLEANED_ABS_Mean,Full_Current_Blink_Duration_CLEANED_ABS_SD,Full_Full_Pupil_Dilation_Mean,Full_Full_Pupil_Dilation_Median,Full_Full_Pupil_Dilation_SD,Full_Full_Pupil_Dilation_Asymmetry,Stress,Calm,Happy,Sad,Pleasure,Arousal,NASA_Mental,NASA_Performance,NASA_Effort,IMI_Interest_Score,IMI_Effort_Score,IMI_Pressure_Score,IMI_Competence_Score,MPS_Phys_Presence_Score,MPS_Social_Presence_Score
1,Pre_Exposure_Blank_Fixation_Cross,-4.4991,-5.3902,-6.1893,-5.8292,-5.9112,-5.989,-5.6043,-5.6317,-4.7131,-5.5602,-6.2621,-5.8501,-5.772,-5.7414,-5.6381,-5.4385,-4.6204,-5.4887,-6.2339,-5.8389,-5.8325,-5.8656,-5.6232,-5.5312,-5.1824,-5.8891,-6.4294,-5.9285,-5.9355,-6.2237,-5.7413,-5.7357,-5.0698,-5.7333,-6.2762,-5.7626,-5.769,-6.075,-5.5744,-5.5765,-5.1195,-5.8002,-6.3421,-5.8334,-5.84,-6.1392,-5.6456,-5.6448,-5.2317,-5.901,-6.4311,-5.9185,-6.0055,-6.2514,-5.7339,-5.7888,-5.2425,-5.8809,-6.478,-6.0544,-6.0417,-6.2744,-5.8484,-5.823,-5.133,-5.7813,-6.3515,-5.9178,-5.8641,-6.029,-5.7152,-5.6202,-5.2202,-5.8472,-6.4202,-5.9808,-5.9561,-6.1466,-5.78,-5.7214,-5.1964,-5.8638,-6.377,-5.8556,-5.9054,-6.1893,-5.6724,-5.7032,-5.0266,-5.772,-6.3376,-5.8333,-5.8004,-6.0809,-5.6459,-5.5998,-0.033768,-0.092025,-0.17222,-5.6381,-0.12607,,4.5302,,4.9789,,4.7705,,4.9857,,5.0385,,5.0135,,5.0995,,5.1418,,5.1319,,5.1753,,5.0557,,4.9188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pre_Exposure_Room_Fixation_Cross,-4.7576,-5.6756,-6.4497,-5.9232,-5.9386,-5.9724,-5.7533,-5.6372,-4.8872,-5.6988,-6.3243,-5.9105,-5.8108,-5.7336,-5.7004,-5.4543,-4.8441,-5.6987,-6.3878,-5.9244,-5.869,-5.8593,-5.7331,-5.547,-5.3421,-5.947,-6.5082,-6.0545,-5.9701,-6.2466,-5.8689,-5.7685,-5.2242,-5.8187,-6.419,-5.8883,-5.8438,-6.1389,-5.7129,-5.6459,-5.2761,-5.8748,-6.459,-5.9592,-5.8991,-6.1866,-5.7799,-5.6997,-5.4021,-5.9931,-6.4968,-5.9812,-6.0258,-6.2578,-5.8041,-5.8077,-5.3441,-5.9745,-6.5819,-6.1017,-6.0683,-6.2708,-5.9221,-5.8407,-5.2141,-5.8492,-6.43,-6.0025,-5.9174,-6.0183,-5.8003,-5.6477,-5.31,-5.927,-6.5004,-6.0422,-5.9927,-6.1436,-5.8524,-5.7443,-5.3689,-5.9414,-6.4578,-5.9379,-5.9495,-6.2258,-5.7616,-5.7467,-5.2275,-5.8255,-6.4413,-6.0015,-5.8599,-6.1573,-5.8049,-5.6636,0.05293,-0.18608,-0.16188,-5.7004,-0.020567,,4.6561,,4.9781,,4.8445,,5.1313,,5.1264,,5.1288,,5.203,,5.1402,,5.116,,5.1718,,5.2055,,5.1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Forest1,-4.0549,-5.0357,-6.0039,-5.7374,-5.7333,-5.8544,-5.4846,-5.4756,-3.934,-5.0029,-5.9422,-5.6894,-5.6298,-5.8578,-5.4252,-5.4158,-4.0267,-5.0456,-5.9922,-5.7273,-5.6833,-5.8629,-5.4709,-5.45,-4.8366,-5.4927,-6.2933,-5.9467,-5.8272,-6.0829,-5.7233,-5.6214,-4.7839,-5.4056,-6.1532,-5.7768,-5.7288,-5.9848,-5.5634,-5.5223,-4.8081,-5.4447,-6.214,-5.8491,-5.7726,-6.0286,-5.6319,-5.5665,-4.7698,-5.6086,-6.392,-5.935,-5.9414,-6.1473,-5.7457,-5.7162,-4.5103,-5.4422,-6.269,-5.9682,-5.8975,-6.086,-5.729,-5.6677,-4.4084,-5.3476,-6.1899,-5.8484,-5.7511,-5.9732,-5.6229,-5.5338,-4.5002,-5.4283,-6.2555,-5.9115,-5.8371,-6.0364,-5.6874,-5.6111,-4.8336,-5.5821,-6.3421,-5.89,-5.8533,-6.0742,-5.6998,-5.6337,-4.765,-5.4331,-6.2484,-5.8944,-5.7308,-5.9319,-5.6733,-5.5033,0.059377,-0.020908,0.070254,-5.4252,0.2402,,3.7894,,3.5749,,3.785,,4.5939,,4.6166,,4.6058,,4.2858,,3.9901,,4.1893,,4.1545,,4.5065,,4.7449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HighStress_HighCog_Task,-4.2954,-5.2117,-6.0135,-5.7438,-5.5993,-5.2465,-5.4765,-5.0767,-4.2212,-5.1845,-5.979,-5.7201,-5.5519,-5.2939,-5.4584,-5.0911,-4.2904,-5.223,-6.0156,-5.7465,-5.5871,-5.3034,-5.4842,-5.1102,-4.9901,-5.6673,-6.3266,-5.9904,-5.7921,-5.991,-5.7533,-5.5646,-4.9501,-5.5925,-6.1315,-5.7589,-5.7078,-5.9276,-5.5261,-5.4887,-4.9686,-5.6264,-6.2132,-5.8535,-5.7457,-5.9565,-5.6192,-5.523,-4.9899,-5.7378,-6.3264,-5.9525,-5.9009,-5.8855,-5.7212,-5.5791,-4.8646,-5.6538,-6.3363,-6.0272,-5.879,-5.888,-5.7797,-5.5694,-4.7366,-5.5262,-6.1968,-5.8867,-5.683,-5.5086,-5.6436,-5.2728,-4.8348,-5.6168,-6.2769,-5.964,-5.7925,-5.6932,-5.7191,-5.4256,-4.9962,-5.6999,-6.2759,-5.8987,-5.8231,-5.9682,-5.6685,-5.574,-4.8963,-5.5769,-6.2625,-5.915,-5.72,-5.9165,-5.6841,-5.4916,0.018126,-0.37397,-0.085346,-5.4584,0.10715,,4.727,,4.5534,,4.6642,,4.938,,4.9918,,4.9664,,5.003,,4.7029,,4.9793,,4.8679,,4.9356,,4.8879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0,0.0,1.0,-1.0,1.0,6.0,7.0,6.0,20.0,24.0,13.0,13.0,2.0,1.4
1,Forest2,-4.2258,-5.1373,-6.0044,-5.7401,-5.6712,-5.7156,-5.4812,-5.3789,-4.1868,-5.1516,-5.9953,-5.7166,-5.5892,-5.6075,-5.4663,-5.2842,-4.2416,-5.1698,-6.0144,-5.7398,-5.6265,-5.6742,-5.4862,-5.3356,-4.884,-5.5386,-6.1933,-5.8564,-5.6974,-5.9275,-5.6244,-5.4811,-4.826,-5.4592,-6.0181,-5.7117,-5.5899,-5.9413,-5.4598,-5.4159,-4.8525,-5.495,-6.0924,-5.7743,-5.6375,-5.9347,-5.5301,-5.4456,-4.863,-5.6644,-6.2956,-5.9643,-5.8665,-6.0579,-5.7293,-5.6359,-4.7687,-5.5577,-6.281,-5.9608,-5.8528,-6.009,-5.7231,-5.6085,-4.5721,-5.4709,-6.181,-5.8614,-5.6756,-5.7851,-5.6266,-5.413,-4.6935,-5.5439,-6.2494,-5.9241,-5.7792,-5.9118,-5.69,-5.5258,-4.9459,-5.6314,-6.2348,-5.8994,-5.7576,-6.0132,-5.6647,-5.551,-4.942,-5.5301,-6.1801,-5.8661,-5.6104,-5.8606,-5.6238,-5.4029,0.014859,-0.15059,-0.1272,-5.4663,0.093713,,4.0851,,4.0044,,4.1547,,4.7906,,4.6919,,4.7386,,4.4273,,4.4334,,4.4418,,4.4124,,4.7044,,5.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HighStress_LowCog_Task,-3.9044,-5.1132,-6.0301,-5.6769,-5.4439,-5.1324,-5.4544,-4.9485,-3.535,-4.8139,-5.8743,-5.5907,-5.3401,-5.0713,-5.3492,-4.8713,-3.7222,-4.9711,-5.9669,-5.6468,-5.4065,-5.1352,-5.4159,-4.9366,-4.8401,-5.6136,-6.2769,-5.869,-5.6775,-5.8334,-5.6699,-5.4311,-4.8023,-5.5522,-6.1801,-5.6779,-5.6267,-5.8214,-5.4981,-5.3951,-4.8198,-5.5802,-6.2233,-5.7581,-5.65,-5.8271,-5.5711,-5.4118,-4.8512,-5.6967,-6.3526,-5.8771,-5.7896,-5.7652,-5.689,-5.4615,-4.7848,-5.6393,-6.3775,-5.9569,-5.7759,-5.7333,-5.7591,-5.4395,-4.6967,-5.517,-6.2275,-5.8109,-5.5365,-5.3363,-5.6125,-5.1102,-4.7661,-5.6033,-6.3144,-5.8872,-5.667,-5.5281,-5.6911,-5.2772,-4.8854,-5.6699,-6.3061,-5.8274,-5.7311,-5.8354,-5.6409,-5.4633,-4.7923,-5.545,-6.2485,-5.8214,-5.618,-5.7718,-5.6234,-5.371,0.10513,-0.47929,-0.17398,-5.3492,0.078394,,4.4075,,4.2101,,4.3669,,4.8093,,4.7464,,4.7762,,4.7822,,4.6228,,4.8968,,4.7365,,4.8545,,4.9088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-2.0,-2.0,-1.0,4.0,2.0,0.0,2.0,2.0,24.0,20.0,19.0,27.0,1.6,1.0
1,Forest3,-4.1557,-5.1687,-6.0567,-5.7282,-5.6406,-5.7141,-5.4984,-5.3628,-4.1162,-5.1453,-6.034,-5.6715,-5.5691,-5.7083,-5.4521,-5.3198,-4.1703,-5.1809,-6.0611,-5.7027,-5.5963,-5.7081,-5.4828,-5.3353,-4.7523,-5.4948,-6.2429,-5.7641,-5.6268,-5.832,-5.5811,-5.4033,-4.727,-5.4363,-6.1079,-5.6628,-5.5323,-5.8143,-5.47,-5.3378,-4.7388,-5.463,-6.1666,-5.7078,-5.5745,-5.8226,-5.5191,-5.3676,-4.7951,-5.6714,-6.3925,-5.8987,-5.8167,-6.0224,-5.7183,-5.5932,-4.6494,-5.5542,-6.3128,-5.9216,-5.7783,-5.9183,-5.7115,-5.5289,-4.5979,-5.4575,-6.2336,-5.7914,-5.6313,-5.7571,-5.5976,-5.3762,-4.6581,-5.5368,-6.2989,-5.8686,-5.7228,-5.8572,-5.6709,-5.4712,-4.8564,-5.6328,-6.3287,-5.8193,-5.6899,-5.8939,-5.6446,-5.4662,-4.8265,-5.511,-6.2473,-5.7401,-5.5348,-5.6799,-5.5672,-5.2877,0.046254,-0.14745,-0.22332,-5.4521,0.056239,,3.9112,,3.9561,,4.0603,,4.7169,,4.6416,,4.6773,,4.4297,,4.3725,,4.5596,,4.4469,,4.6583,,5.2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LowStress_HighCog_Task,-4.4159,-5.2965,-6.1926,-5.854,-5.785,-5.5737,-5.6229,-5.3537,-4.476,-5.3567,-6.1757,-5.8626,-5.6861,-5.5322,-5.6227,-5.2883,-4.4731,-5.3463,-6.1952,-5.8701,-5.7371,-5.5814,-5.6341,-5.3387,-4.9946,-5.6884,-6.3707,-6.0369,-5.8642,-6.0811,-5.8066,-5.644,-4.9867,-5.6305,-6.2569,-5.8798,-5.7337,-6.0583,-5.6577,-5.5525,-4.9904,-5.657,-6.3071,-5.9472,-5.7906,-6.069,-5.7219,-5.5935,-5.0649,-5.7892,-6.4654,-6.0335,-5.9842,-6.0235,-5.8301,-5.6882,-4.9715,-5.7329,-6.4714,-6.1014,-5.9588,-6.0119,-5.8844,-5.6702,-4.9097,-5.619,-6.3436,-6.0158,-5.776,-5.7306,-5.7825,-5.4391,-4.9807,-5.7055,-6.4225,-6.0609,-5.8825,-5.8793,-5.8397,-5.5667,-5.0421,-5.7358,-6.4014,-5.9915,-5.8995,-6.096,-5.781,-5.6714,-4.9015,-5.6115,-6.3159,-6.0002,-5.7799,-6.028,-5.7569,-5.5719,0.00025558,-0.29545,-0.039605,-5.6227,0.14538,,4.6892,,4.8674,,4.7816,,4.8998,,4.9984,,4.9517,,5.0526,,4.9103,,5.0795,,5.0293,,4.9527,,4.8124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,-1.0,-1.0,3.0,0.0,7.0,2.0,3.0,18.0,26.0,23.0,18.0,1.6,2.0
1,Forest4,-4.2378,-5.1793,-5.9681,-5.6866,-5.6084,-5.7352,-5.4387,-5.3524,-4.131,-5.0915,-5.8793,-5.6781,-5.5314,-5.6669,-5.3997,-5.2804,-4.2156,-5.1554,-5.9372,-5.6928,-5.557,-5.6892,-5.4315,-5.3036,-4.6831,-5.3877,-6.069,-5.7819,-5.5261,-5.6894,-5.5392,-5.2858,-4.6858,-5.3608,-5.9937,-5.6732,-5.4976,-5.7561,-5.4363,-5.292,-4.6845,-5.3734,-6.0278,-5.7213,-5.5108,-5.7232,-5.482,-5.289,-4.7913,-5.6083,-6.2766,-5.9107,-5.8069,-5.9959,-5.6918,-5.5762,-4.573,-5.4625,-6.1939,-5.8996,-5.7326,-5.877,-5.6577,-5.4845,-4.5875,-5.3987,-6.1095,-5.8351,-5.5836,-5.6968,-5.5876,-5.3208,-4.6105,-5.4623,-6.1737,-5.8799,-5.6811,-5.8122,-5.6382,-5.4265,-4.8088,-5.5588,-6.2155,-5.85,-5.6562,-5.8274,-5.6312,-5.4176,-4.8548,-5.4484,-6.1216,-5.8055,-5.4641,-5.6014,-5.5724,-5.2105,0.039027,-0.12785,-0.23797,-5.3997,0.12394,,4.0011,,4.0007,,4.1407,,4.8112,,4.6051,,4.7027,,4.4786,,4.198,,4.6148,,4.3879,,4.5486,,5.4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LowStress_LowCog_Task,-4.356,-5.2679,-6.1363,-5.8015,-5.6627,-5.4509,-5.5671,-5.23,-4.4644,-5.2666,-6.1046,-5.7757,-5.5285,-5.3371,-5.5392,-5.1075,-4.4351,-5.2865,-6.1278,-5.791,-5.5981,-5.4185,-5.5564,-5.1845,-4.8462,-5.5523,-6.2496,-5.8484,-5.7335,-5.9436,-5.6253,-5.5105,-4.8742,-5.5632,-6.1167,-5.6354,-5.6054,-5.8993,-5.4245,-5.4111,-4.8607,-5.558,-6.1746,-5.7235,-5.6614,-5.9197,-5.5082,-5.4554,-4.9976,-5.7098,-6.4208,-6.0188,-5.9004,-5.8848,-5.8008,-5.5769,-4.8914,-5.6641,-6.4023,-6.0388,-5.8821,-5.8675,-5.8155,-5.5607,-4.8493,-5.5419,-6.2717,-5.8924,-5.6608,-5.5383,-5.6713,-5.2805,-4.9108,-5.6319,-6.3603,-5.987,-5.7864,-5.7064,-5.765,-5.4299,-4.9903,-5.6584,-6.3324,-5.9238,-5.8151,-5.9681,-5.7047,-5.5685,-4.8641,-5.5256,-6.2061,-5.8161,-5.677,-5.8473,-5.5903,-5.4363,0.027981,-0.37192,-0.089299,-5.5392,0.064709,,4.7091,,5.1598,,4.9421,,4.9031,,4.9338,,4.9193,,5.1301,,4.9753,,5.2394,,5.1229,,5.0287,,5.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,-1.0,-1.0,3.0,-2.0,2.0,7.0,7.0,20.0,24.0,20.0,26.0,1.6,2.0
