Participant,Condition,FrontalLeft_Delta_Power,FrontalLeft_Theta_Power,FrontalLeft_LowAlpha_Power,FrontalLeft_HighAlpha_Power,FrontalLeft_LowBeta_Power,FrontalLeft_HighBeta_Power,FrontalLeft_Alpha_Power,FrontalLeft_Beta_Power,FrontalRight_Delta_Power,FrontalRight_Theta_Power,FrontalRight_LowAlpha_Power,FrontalRight_HighAlpha_Power,FrontalRight_LowBeta_Power,FrontalRight_HighBeta_Power,FrontalRight_Alpha_Power,FrontalRight_Beta_Power,OverallFrontal_Delta_Power,OverallFrontal_Theta_Power,OverallFrontal_LowAlpha_Power,OverallFrontal_HighAlpha_Power,OverallFrontal_LowBeta_Power,OverallFrontal_HighBeta_Power,OverallFrontal_Alpha_Power,OverallFrontal_Beta_Power,TemporalLeft_Delta_Power,TemporalLeft_Theta_Power,TemporalLeft_LowAlpha_Power,TemporalLeft_HighAlpha_Power,TemporalLeft_LowBeta_Power,TemporalLeft_HighBeta_Power,TemporalLeft_Alpha_Power,TemporalLeft_Beta_Power,TemporalRight_Delta_Power,TemporalRight_Theta_Power,TemporalRight_LowAlpha_Power,TemporalRight_HighAlpha_Power,TemporalRight_LowBeta_Power,TemporalRight_HighBeta_Power,TemporalRight_Alpha_Power,TemporalRight_Beta_Power,Temporal_Delta_Power,Temporal_Theta_Power,Temporal_LowAlpha_Power,Temporal_HighAlpha_Power,Temporal_LowBeta_Power,Temporal_HighBeta_Power,Temporal_Alpha_Power,Temporal_Beta_Power,Central_Delta_Power,Central_Theta_Power,Central_LowAlpha_Power,Central_HighAlpha_Power,Central_LowBeta_Power,Central_HighBeta_Power,Central_Alpha_Power,Central_Beta_Power,ParietalLeft_Delta_Power,ParietalLeft_Theta_Power,ParietalLeft_LowAlpha_Power,ParietalLeft_HighAlpha_Power,ParietalLeft_LowBeta_Power,ParietalLeft_HighBeta_Power,ParietalLeft_Alpha_Power,ParietalLeft_Beta_Power,ParietalRight_Delta_Power,ParietalRight_Theta_Power,ParietalRight_LowAlpha_Power,ParietalRight_HighAlpha_Power,ParietalRight_LowBeta_Power,ParietalRight_HighBeta_Power,ParietalRight_Alpha_Power,ParietalRight_Beta_Power,Parietal_Delta_Power,Parietal_Theta_Power,Parietal_LowAlpha_Power,Parietal_HighAlpha_Power,Parietal_LowBeta_Power,Parietal_HighBeta_Power,Parietal_Alpha_Power,Parietal_Beta_Power,Occipital_Delta_Power,Occipital_Theta_Power,Occipital_LowAlpha_Power,Occipital_HighAlpha_Power,Occipital_LowBeta_Power,Occipital_HighBeta_Power,Occipital_Alpha_Power,Occipital_Beta_Power,FrontalMidline_Delta_Power,FrontalMidline_Theta_Power,FrontalMidline_LowAlpha_Power,FrontalMidline_HighAlpha_Power,FrontalMidline_LowBeta_Power,FrontalMidline_HighBeta_Power,FrontalMidline_Alpha_Power,FrontalMidline_Beta_Power,Frontal_Alpha_Asymmetry,Alpha_Beta_Ratio,Theta_Beta_Ratio,RightFrontal_Alpha,Theta_Alpha_Ratio,FrontalLeft_SampleEntropy,FrontalLeft_SpectralEntropy,FrontalRight_SampleEntropy,FrontalRight_SpectralEntropy,OverallFrontal_SampleEntropy,OverallFrontal_SpectralEntropy,TemporalLeft_SampleEntropy,TemporalLeft_SpectralEntropy,TemporalRight_SampleEntropy,TemporalRight_SpectralEntropy,Temporal_SampleEntropy,Temporal_SpectralEntropy,Central_SampleEntropy,Central_SpectralEntropy,ParietalLeft_SampleEntropy,ParietalLeft_SpectralEntropy,ParietalRight_SampleEntropy,ParietalRight_SpectralEntropy,Parietal_SampleEntropy,Parietal_SpectralEntropy,Occipital_SampleEntropy,Occipital_SpectralEntropy,FrontalMidline_SampleEntropy,FrontalMidline_SpectralEntropy
1,Pre_Exposure_Blank_Fixation_Cross,-8.4014,-8.2936,-8.8694,-8.6224,-8.7368,-9.2409,-8.3619,-8.6178,-8.0446,-7.9351,-8.511,-8.2635,-8.3781,-8.8829,-8.0032,-8.2592,-8.1662,-8.0569,-8.6327,-8.3854,-8.4999,-9.0046,-8.125,-8.381,-8.1562,-8.045,-8.6203,-8.3734,-8.4878,-8.9929,-8.1128,-8.369,-8.3051,-8.1939,-8.7692,-8.5222,-8.6367,-9.1417,-8.2617,-8.5179,-8.2282,-8.117,-8.6923,-8.4454,-8.5598,-9.0649,-8.1848,-8.441,-8.4252,-8.3149,-8.8904,-8.6432,-8.7577,-9.2626,-8.3828,-8.6388,-8.1004,-7.9901,-8.5655,-8.3186,-8.433,-8.938,-8.058,-8.3142,-8.014,-7.9039,-8.4796,-8.2322,-8.3468,-8.8519,-7.9719,-8.228,-8.0738,-7.9635,-8.5391,-8.2919,-8.4064,-8.9114,-8.0314,-8.2876,-7.7596,-7.6482,-8.2238,-7.9766,-8.0912,-8.5967,-7.7162,-7.9725,-8.0067,-7.8955,-8.4708,-8.224,-8.3383,-8.8436,-7.9634,-8.2196,0.35869,0.25602,0.32405,-8.0032,0.06787,NaN,0.86703,NaN,0.86703,NaN,0.86694,NaN,0.86853,NaN,0.86675,NaN,0.86759,NaN,0.88044,NaN,0.86649,NaN,0.86631,NaN,0.88276,NaN,0.86746,NaN,0.86608
1,Pre_Exposure_Room_Fixation_Cross,-8.3877,-8.2807,-8.8565,-8.6091,-8.7238,-9.2281,-8.3487,-8.6047,-8.0366,-7.9251,-8.5008,-8.2534,-8.3682,-8.8727,-7.9931,-8.2493,-8.1561,-8.0456,-8.6213,-8.374,-8.4887,-8.9933,-8.1136,-8.3698,-8.1393,-8.0271,-8.6028,-8.3555,-8.4701,-8.9757,-8.0951,-8.3514,-8.295,-8.1823,-8.758,-8.5107,-8.6253,-9.1307,-8.2503,-8.5066,-8.2143,-8.1018,-8.6776,-8.4303,-8.5448,-9.0504,-8.1699,-8.4262,-8.413,-8.3014,-8.877,-8.6298,-8.7445,-9.2496,-8.3694,-8.6257,-8.0922,-7.9817,-8.5575,-8.3102,-8.4248,-8.9301,-8.0498,-8.3061,-8.0066,-7.8945,-8.4702,-8.2229,-8.3377,-8.8427,-7.9625,-8.2189,-8.0676,-7.9562,-8.5319,-8.2846,-8.3993,-8.9045,-8.0242,-8.2805,-7.7552,-7.6436,-8.2193,-7.972,-8.0867,-8.5923,-7.7116,-7.9681,-7.9947,-7.8818,-8.4576,-8.2102,-8.3249,-8.8304,-7.9498,-8.2062,0.35565,0.25619,0.3244,-7.9931,0.067998,NaN,0.86727,NaN,0.86702,NaN,0.86704,NaN,0.86778,NaN,0.8668,NaN,0.86726,NaN,0.92045,NaN,0.86649,NaN,0.86628,NaN,0.8968,NaN,0.86755,NaN,0.86606
1,Forest1,-8.3868,-8.2883,-8.8641,-8.6172,-8.7314,-9.2352,-8.3566,-8.6123,-8.0259,-7.9197,-8.4957,-8.2484,-8.363,-8.8681,-7.988,-8.2442,-8.1489,-8.0439,-8.6198,-8.3726,-8.4871,-8.9919,-8.1122,-8.3682,-8.1327,-8.0216,-8.5974,-8.3501,-8.4646,-8.97,-8.0897,-8.3458,-8.2941,-8.1829,-8.7589,-8.5114,-8.6259,-9.1312,-8.2511,-8.5071,-8.2101,-8.099,-8.6749,-8.4275,-8.542,-9.0473,-8.1671,-8.4233,-8.4168,-8.3071,-8.8829,-8.6356,-8.75,-9.255,-8.3752,-8.6311,-8.0992,-7.9919,-8.5676,-8.3205,-8.4349,-8.9399,-8.06,-8.3161,-8.0111,-7.902,-8.4779,-8.2307,-8.3451,-8.8504,-7.9703,-8.2263,-8.0759,-7.9674,-8.5432,-8.296,-8.4104,-8.9156,-8.0356,-8.2916,-7.7597,-7.6487,-8.2244,-7.9771,-8.0918,-8.5973,-7.7167,-7.9731,-7.9904,-7.8786,-8.4544,-8.2071,-8.3215,-8.8269,-7.9467,-8.2028,0.3686,0.25599,0.32418,-7.988,0.0681,NaN,0.86712,NaN,0.86693,NaN,0.86693,NaN,0.86779,NaN,0.86663,NaN,0.86718,NaN,0.90017,NaN,0.86647,NaN,0.86624,NaN,0.8687,NaN,0.87014,NaN,0.86604
1,HighStress_HighCog1022_Task,-8.4547,-8.3498,-8.9251,-8.6784,-8.7921,-9.2851,-8.4177,-8.6703,-8.0388,-7.9302,-8.5062,-8.2587,-8.3732,-8.873,-7.9983,-8.2531,-8.1804,-8.0723,-8.6481,-8.4008,-8.5151,-9.014,-8.1403,-8.3948,-8.1896,-8.0784,-8.654,-8.4068,-8.5214,-9.0265,-8.1464,-8.4026,-8.3365,-8.2256,-8.8015,-8.5539,-8.6686,-9.1738,-8.2936,-8.5498,-8.2607,-8.1496,-8.7254,-8.478,-8.5926,-9.0978,-8.2176,-8.4739,-8.4803,-8.3692,-8.9448,-8.6974,-8.812,-9.3161,-8.437,-8.693,-8.1639,-8.054,-8.6295,-8.3825,-8.4968,-8.9982,-8.1219,-8.3771,-8.0584,-7.9472,-8.523,-8.2757,-8.3902,-8.8932,-8.0153,-8.2709,-8.1368,-8.026,-8.6017,-8.3545,-8.469,-8.9714,-8.094,-8.3495,-7.7949,-7.683,-8.2586,-8.0114,-8.1261,-8.6313,-7.7509,-8.0073,-8.0384,-7.9269,-8.5026,-8.2552,-8.3699,-8.8751,-7.9949,-8.2511,0.41936,0.25444,0.32427,-7.9983,0.068012,NaN,0.86687,NaN,0.86847,NaN,0.86751,NaN,0.88715,NaN,0.86676,NaN,0.87641,NaN,0.86885,NaN,0.86684,NaN,0.86634,NaN,0.86674,NaN,0.86848,NaN,0.86606
1,Forest2,-8.496,-8.3963,-8.9725,-8.7251,-8.8392,-9.3409,-8.4647,-8.7195,-8.0371,-7.9297,-8.5058,-8.2583,-8.3728,-8.8765,-7.9979,-8.2537,-8.1923,-8.086,-8.6621,-8.4146,-8.529,-9.0325,-8.1542,-8.4098,-8.2299,-8.1197,-8.6955,-8.4478,-8.5624,-9.0675,-8.1876,-8.4436,-8.3654,-8.2549,-8.831,-8.583,-8.6976,-9.2028,-8.3229,-8.5788,-8.2959,-8.1856,-8.7615,-8.5137,-8.6283,-9.1334,-8.2535,-8.5095,-8.5289,-8.421,-8.9969,-8.7493,-8.8636,-9.3681,-8.489,-8.7447,-8.2136,-8.1057,-8.6817,-8.4342,-8.5486,-9.0528,-8.1738,-8.4296,-8.0929,-7.9894,-8.5654,-8.318,-8.4324,-8.937,-8.0576,-8.3135,-8.1819,-8.0769,-8.6529,-8.4054,-8.5199,-9.0243,-8.1451,-8.4009,-7.8222,-7.7134,-8.2893,-8.0419,-8.1566,-8.6619,-7.7815,-8.0378,-8.0637,-7.9521,-8.5282,-8.2803,-8.3949,-8.9001,-8.0201,-8.2761,0.46673,0.25557,0.324,-7.9979,0.067989,NaN,0.86744,NaN,0.92025,NaN,0.89116,NaN,0.87049,NaN,0.8676,NaN,0.86897,NaN,0.8709,NaN,0.86778,NaN,0.86684,NaN,0.86732,NaN,0.86913,NaN,0.86613
1,HighStress_LowCog_Task,-8.5431,-8.4638,-9.0407,-8.7931,-8.9055,-9.391,-8.5328,-8.7818,-8.0325,-7.9393,-8.5155,-8.268,-8.3821,-8.8809,-8.0077,-8.2617,-8.2056,-8.1131,-8.6894,-8.4419,-8.5557,-9.0524,-8.1815,-8.4348,-8.2896,-8.1792,-8.755,-8.5074,-8.622,-9.1265,-8.2471,-8.503,-8.4132,-8.3029,-8.8788,-8.631,-8.7456,-9.2504,-8.3708,-8.6267,-8.3503,-8.2399,-8.8158,-8.5681,-8.6826,-9.1873,-8.3078,-8.5637,-8.5983,-8.4903,-9.0661,-8.8185,-8.933,-9.4355,-8.5582,-8.8135,-8.2746,-8.1691,-8.7452,-8.4977,-8.6117,-9.1107,-8.2374,-8.4914,-8.1387,-8.0363,-8.6121,-8.365,-8.479,-8.9801,-8.1045,-8.3592,-8.2384,-8.1343,-8.7102,-8.4629,-8.577,-9.0774,-8.2025,-8.457,-7.8567,-7.7523,-8.3282,-8.0808,-8.1954,-8.7003,-7.8204,-8.0766,-8.1134,-8.0026,-8.5785,-8.3309,-8.4455,-8.9501,-8.0706,-8.3266,0.5251,0.25326,0.32392,-8.0077,0.067949,NaN,0.87298,NaN,0.86897,NaN,0.87051,NaN,0.86668,NaN,0.86931,NaN,0.86807,NaN,0.87032,NaN,0.86903,NaN,0.86715,NaN,0.86792,NaN,0.88227,NaN,0.86611
1,Forest3,-8.6125,-8.5173,-9.093,-8.846,-8.9596,-9.4602,-8.5855,-8.8396,-8.0338,-7.9269,-8.5028,-8.2553,-8.3699,-8.8743,-7.995,-8.251,-8.2258,-8.1206,-8.6964,-8.4491,-8.5635,-9.0672,-8.1887,-8.4443,-8.3584,-8.2493,-8.8251,-8.5778,-8.692,-9.1964,-8.3174,-8.573,-8.4567,-8.3489,-8.9249,-8.6771,-8.7915,-9.2957,-8.4169,-8.6725,-8.4074,-8.2989,-8.8748,-8.6273,-8.7415,-9.2458,-8.3669,-8.6225,-8.6445,-8.5414,-9.1169,-8.8696,-8.9837,-9.4872,-8.6092,-8.8645,-8.3286,-8.2231,-8.7985,-8.5516,-8.6657,-9.1693,-8.291,-8.5465,-8.1826,-8.0755,-8.6509,-8.4038,-8.5184,-9.0226,-8.1434,-8.3994,-8.2898,-8.1839,-8.7594,-8.5123,-8.6267,-9.1306,-8.2519,-8.5076,-7.8908,-7.7804,-8.356,-8.1087,-8.2234,-8.7286,-7.8483,-8.1046,-8.1623,-8.0521,-8.6277,-8.3804,-8.4948,-8.9991,-8.12,-8.3758,0.59047,0.25562,0.32373,-7.995,0.06789,NaN,0.88933,NaN,0.86803,NaN,0.87747,NaN,0.86665,NaN,0.89073,NaN,0.87932,NaN,0.88581,NaN,0.89609,NaN,0.86879,NaN,0.88048,NaN,0.86872,NaN,0.86618
1,LowStress_HighCog1022_Task,-8.6447,-8.5432,-9.1197,-8.8722,-8.9864,-9.4828,-8.6119,-8.8654,-8.0367,-7.9274,-8.5033,-8.2559,-8.3704,-8.8736,-7.9955,-8.2512,-8.2371,-8.129,-8.705,-8.4576,-8.5721,-9.0742,-8.1972,-8.4525,-8.4086,-8.2978,-8.8738,-8.6261,-8.7405,-9.2455,-8.3658,-8.6217,-8.4869,-8.376,-8.9519,-8.7043,-8.8187,-9.3238,-8.444,-8.6999,-8.448,-8.3372,-8.9132,-8.6655,-8.7799,-9.2849,-8.4052,-8.6611,-8.6846,-8.5754,-9.1514,-8.9038,-9.0181,-9.5217,-8.6435,-8.8989,-8.3626,-8.2543,-8.8305,-8.5829,-8.6973,-9.2,-8.3226,-8.5779,-8.2081,-8.0985,-8.6745,-8.4271,-8.5415,-9.0457,-8.1667,-8.4225,-8.3214,-8.2123,-8.7883,-8.5408,-8.6553,-9.1588,-8.2805,-8.5361,-7.9099,-7.7986,-8.3745,-8.1271,-8.2418,-8.7471,-7.8667,-8.123,-8.1945,-8.0832,-8.6591,-8.4116,-8.526,-9.031,-8.1512,-8.4072,0.61633,0.25529,0.32399,-7.9955,0.068058,NaN,0.88797,NaN,0.86739,NaN,0.87655,NaN,0.86627,NaN,0.86813,NaN,0.86725,NaN,0.88248,NaN,0.87523,NaN,0.87184,NaN,0.87271,NaN,0.86699,NaN,0.86604
1,Forest4,-8.6173,-8.5227,-9.0989,-8.8511,-8.9651,-9.4665,-8.5909,-8.8454,-8.035,-7.9266,-8.5026,-8.2551,-8.3696,-8.8744,-7.9948,-8.2507,-8.2285,-8.1223,-8.6983,-8.4507,-8.5651,-9.0692,-8.1905,-8.446,-8.3946,-8.2851,-8.8611,-8.6135,-8.7275,-9.2312,-8.3532,-8.6084,-8.4666,-8.358,-8.934,-8.6864,-8.8003,-9.3044,-8.4261,-8.6813,-8.431,-8.3219,-8.8979,-8.6503,-8.7643,-9.2682,-8.3901,-8.6452,-8.6431,-8.5528,-9.1292,-8.8813,-8.9952,-9.4984,-8.6211,-8.8759,-8.3406,-8.2356,-8.8117,-8.5638,-8.6782,-9.1818,-8.3037,-8.559,-8.1836,-8.0752,-8.6514,-8.4037,-8.5179,-9.0222,-8.1435,-8.3989,-8.2983,-8.1927,-8.7688,-8.5211,-8.6352,-9.1393,-8.2609,-8.5162,-7.9092,-7.7988,-8.3747,-8.1271,-8.2418,-8.7469,-7.8669,-8.123,-8.1713,-8.0597,-8.6358,-8.388,-8.5022,-9.0064,-8.1278,-8.3831,0.59607,0.2556,0.32339,-7.9948,0.068091,NaN,0.93302,NaN,0.86886,NaN,0.89758,NaN,0.86684,NaN,0.87265,NaN,0.8699,NaN,0.8826,NaN,0.93574,NaN,0.88462,NaN,0.90509,NaN,0.8687,NaN,0.86625
1,LowStress_LowCog_Task,-8.6314,-8.5323,-9.1088,-8.8611,-8.9746,-9.4691,-8.6008,-8.8531,-8.0463,-7.9366,-8.5125,-8.2651,-8.3794,-8.8812,-8.0047,-8.2598,-8.2412,-8.1332,-8.7092,-8.4618,-8.5759,-9.0768,-8.2014,-8.4561,-8.4206,-8.3098,-8.8856,-8.6386,-8.7526,-9.2574,-8.378,-8.6337,-8.4901,-8.3795,-8.9552,-8.7079,-8.8222,-9.3272,-8.4475,-8.7033,-8.4558,-8.3451,-8.9208,-8.6737,-8.7878,-9.2927,-8.4132,-8.669,-8.685,-8.5788,-9.1548,-8.9074,-9.0213,-9.5242,-8.647,-8.9019,-8.3698,-8.2628,-8.8388,-8.5916,-8.7055,-9.2067,-8.3311,-8.5857,-8.1983,-8.0882,-8.6641,-8.4167,-8.5309,-9.0342,-8.1563,-8.4117,-8.3201,-8.2114,-8.7873,-8.54,-8.6541,-9.1566,-8.2796,-8.5347,-7.9325,-7.8215,-8.3973,-8.15,-8.2645,-8.7698,-7.8896,-8.1458,-8.1909,-8.0792,-8.655,-8.408,-8.522,-9.0267,-8.1474,-8.4031,0.59613,0.25464,0.32396,-8.0047,0.068247,NaN,0.87034,NaN,0.86841,NaN,0.86906,NaN,0.86643,NaN,0.8687,NaN,0.86763,NaN,0.87595,NaN,0.87029,NaN,0.89928,NaN,0.88282,NaN,0.86935,NaN,0.86611
