task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,Logistic Regression,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5790472891764642,0.07816738044536006,0.5851124747896422,0.6274112601411154,0.6008726764179667,0.6331800024576569,0.6423357664233577,1.8261568546295166
stress_classification,Random Forest,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.543242406759527,0.06466732269733741,0.5435159889940481,0.5838926747476325,0.5604839608338862,0.55743961765457,0.6521739130434783,7.757143020629883
stress_classification,Logistic Regression,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.5287425345469429,0.03475386628678977,0.5374351977682966,0.5511665513763301,0.5412053020648853,0.5480900189124126,0.5869565217391305,14.263638019561768
stress_classification,Logistic Regression,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.5473603796801929,0.028038632954436975,0.554702340271622,0.5631453332245465,0.5563990196136919,0.5874231921733057,0.6376811594202898,15.402437210083008
stress_classification,K-Nearest Neighbors,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5096871251175308,0.025312947111175984,0.5189415103427724,0.5198573237742863,0.5163644705117706,0.5164302177336377,0.5985401459854015,6.400299072265625
stress_classification,Random Forest,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.4915402395926497,0.03415198664809446,0.5024201042154574,0.5055738325227536,0.5011194980968291,0.4981341112872323,0.572463768115942,26.953815698623657
stress_classification,Random Forest,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.4955155936986023,0.04030258227476976,0.5095465861131487,0.5269953682846336,0.5120755142262239,0.5047252467906189,0.5652173913043478,28.97349452972412
stress_classification,Linear Discriminant Analysis,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5803392604326365,0.07701897057352566,0.5835440541411571,0.6385614840408612,0.6054997307296285,0.6386368764164864,0.6423357664233577,4.050569534301758
stress_classification,SVM,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5169288739422611,0.052135048754116356,0.5241596043115822,0.576987731925727,0.545616606238045,0.5311879972960373,0.6014492753623188,33.59629988670349
stress_classification,Linear Discriminant Analysis,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.5589227085901273,0.02142575577932266,0.5653448766807228,0.5815195526498449,0.5706571191909082,0.5942126876608855,0.6444444444444445,13.796495914459229
stress_classification,Linear Discriminant Analysis,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.529887460087379,0.03421078656422568,0.5384249003098787,0.5476486234333817,0.5399947092705241,0.550747441387492,0.6014492753623188,12.647518396377563
stress_classification,K-Nearest Neighbors,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.48183760676519044,0.016859999960212303,0.49027131731784496,0.49938692974147764,0.4926932161048182,0.47211785094959346,0.5652173913043478,32.26065754890442
stress_classification,K-Nearest Neighbors,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.4815493325136261,0.027169134907599122,0.4934760946363612,0.5310003157181524,0.5077619803444074,0.47617695206901905,0.6014492753623188,32.05592656135559
stress_classification,Neural Network (MLP),eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.48611787478776314,0.029263997869895725,0.49337967189772025,0.5080176991359728,0.4980229883857188,0.481412088297178,0.5579710144927537,49.56171178817749
stress_classification,Neural Network (MLP),physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5176187474965472,0.03292256648855367,0.5221506258346984,0.5705661003841829,0.5421931969470153,0.5386804624158197,0.6148148148148148,52.521851778030396
stress_classification,Neural Network (MLP),all,subtract,within_subject,last_60s,87,3853.6,963.4,0.4899559663430503,0.025168585665063938,0.4983861561181935,0.4980136858497962,0.49550062463886907,0.4921968588992683,0.5693430656934306,54.96296572685242
stress_classification,Logistic Regression,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5839261558566646,0.07896330255188674,0.5891761791955463,0.6343615244811639,0.6060582605452142,0.6284288764966804,0.6642335766423357,3.8768672943115234
stress_classification,Random Forest,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5199510329617727,0.06433364138387766,0.5262745372018214,0.5585732472025835,0.5378553929855183,0.5400365366702735,0.644927536231884,12.83263611793518
stress_classification,Logistic Regression,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.5585389042546337,0.023096083824419293,0.5663483244728644,0.578187016297915,0.5690074491992675,0.6011944766480796,0.6304347826086957,13.775793552398682
stress_classification,Logistic Regression,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.5208204919877648,0.04376591710792166,0.5303955923375281,0.5420021449914921,0.5326677056811866,0.5513729934526801,0.5942028985507246,12.6461341381073
stress_classification,SVM,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.48751429168661053,0.029279368739454494,0.49813999491177857,0.5209101906015317,0.5064238856040015,0.497268637013367,0.5579710144927537,70.71976923942566
stress_classification,Random Forest,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.5104707453427445,0.04204400229513099,0.5239404026367885,0.5207028666498756,0.5182768535452293,0.5242258605413419,0.5797101449275363,37.123316526412964
stress_classification,Random Forest,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.5096042988387142,0.03151609917272682,0.5243985116044432,0.535653405321802,0.5236184598337884,0.512020065213718,0.5869565217391305,36.840198278427124
stress_classification,SVM,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.49955102954256014,0.04542464591679182,0.510206609398038,0.5566039179794984,0.5288552274088028,0.5050076633663727,0.5955882352941176,82.76760005950928
stress_classification,K-Nearest Neighbors,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.47713606917774676,0.01703579051194168,0.48773706539274897,0.47852398571109306,0.48001261105922877,0.4839693182170383,0.572463768115942,22.448526620864868
stress_classification,K-Nearest Neighbors,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5283629853987203,0.03186718933069744,0.5357140872990815,0.5415019339214914,0.5370414861776776,0.5365128914576611,0.6304347826086957,5.822460651397705
stress_classification,SVM,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5369179256843217,0.05744899873342052,0.5440987886542248,0.5817013164382735,0.5584544316226678,0.5561030668780937,0.6376811594202898,47.09024429321289
