task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds,tuned_params,threshold
stress_classification,Logistic Regression,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.5477519623473917,0.06524337094781883,0.5773047469288153,0.4915103128684117,0.49904442373376445,0.565150286784984,0.6204379562043796,21.473686695098877,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'saga'}",0.5
stress_classification,Neural Network (MLP),physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.5128330189578384,0.03700282203349354,0.5007353826416873,0.5987597266613929,0.5326009309329345,0.5034476401089385,0.5912408759124088,368.1132004261017,"{'alpha': 0.001, 'hidden_layer_sizes': [100]}",0.55
stress_classification,Neural Network (MLP),eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.4909156247953603,0.05732257851411923,0.5035962005818337,0.5371861448212172,0.5130825969010661,0.5126759999194063,0.5507246376811594,436.2611017227173,"{'alpha': 0.001, 'hidden_layer_sizes': [50, 50]}",0.4
stress_classification,Neural Network (MLP),all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5153345539319192,0.060975929709659926,0.5233667879605183,0.5351692663159475,0.5179808379531966,0.5321531772132688,0.6159420289855072,461.9156575202942,"{'alpha': 0.0001, 'hidden_layer_sizes': [50, 50]}",0.5750000000000001
stress_classification,K-Nearest Neighbors,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.49660131113240213,0.030320734939908753,0.4805235480663682,0.5858199413260872,0.49438855340577303,0.4766748756516164,0.5507246376811594,90.9229371547699,"{'n_neighbors': 5, 'weights': 'uniform'}",0.225
stress_classification,K-Nearest Neighbors,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.510949489307863,0.06962249191787212,0.5030519528141715,0.7449852771284073,0.5929596799303857,0.5097525412355827,0.5766423357664233,27.69675850868225,"{'n_neighbors': 21, 'weights': 'uniform'}",0.2
stress_classification,Linear Discriminant Analysis,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5596289506824925,0.04674533166486456,0.6022282657089241,0.4352214414011737,0.48262026876201436,0.5851432187181983,0.6159420289855072,21.182665824890137,{'solver': 'lsqr'},0.6250000000000001
stress_classification,Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.5475537700337888,0.07056618695595408,0.5974392814840117,0.48298533625165685,0.49043175713218734,0.5690367230107726,0.635036496350365,5.988879442214966,{'solver': 'lsqr'},0.5
stress_classification,Linear Discriminant Analysis,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5389048556318514,0.02432270945636484,0.6042484241620729,0.3961149308671844,0.42038392449167505,0.5570404963915236,0.5985401459854015,19.418166637420654,{'solver': 'lsqr'},0.7500000000000002
stress_classification,K-Nearest Neighbors,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.45817363822616225,0.041644020422628214,0.49060823054561276,0.34255918059906043,0.34423306867733594,0.47953170375800613,0.5434782608695652,89.55871105194092,"{'n_neighbors': 5, 'weights': 'distance'}",0.8
stress_classification,SVM,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.5573342419099571,0.07104760778779559,0.5637395837801511,0.5930958990931676,0.5461774448835991,0.5668893454067495,0.625,836.1052417755127,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True}",0.5
stress_classification,Logistic Regression,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5326252611338764,0.03941271007830218,0.5827471005409824,0.2942944172280419,0.38781636460942864,0.5483609217231745,0.6304347826086957,936.8289258480072,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'saga'}",0.6500000000000001
stress_classification,Random Forest,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.511384218820859,0.06395694329198207,0.4935929598856686,0.7639560217620858,0.5970182724723013,0.5157772424405223,0.583941605839416,1073.7984580993652,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.4
stress_classification,SVM,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.503003952089905,0.05513378337936398,0.49437918481526627,0.5650941821540019,0.5214387575220114,0.5108081669656419,0.5693430656934306,1237.8743386268616,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True}",0.32500000000000007
stress_classification,SVM,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.4944970901485523,0.017620837052079834,0.4869327848907289,0.49013324724988205,0.46667681988461956,0.495748340213306,0.5766423357664233,1254.6625843048096,"{'C': 2.0, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True}",0.32500000000000007
