model,modality,baseline_adjustment,normalization,baseline_duration,auc_mean,accuracy_mean,tuned_params,threshold
Logistic Regression,all,zscore,within_subject,last_90s,0.5887184675647775,0.5584536001765037,,
Linear Discriminant Analysis,all,zscore,within_subject,last_90s,0.5851432187181983,0.5445159805440788,,
Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,0.5690367230107726,0.5445993294954556,,
Logistic Regression,physio,zscore,within_subject,last_90s,0.5678455538647977,0.5488424576410228,,
Logistic Regression,eeg,zscore,within_subject,last_90s,0.5586931324422075,0.531011676045589,,
Linear Discriminant Analysis,eeg,zscore,within_subject,last_90s,0.5570404963915236,0.5291526562742943,,
SVM,physio,zscore,within_subject,last_90s,0.5400919956509613,0.5287618915068082,,
XGBoost,all,zscore,within_subject,last_90s,0.5377633338822809,0.524399898282196,,
XGBoost,physio,zscore,within_subject,last_90s,0.5351998217409295,0.5186857782566181,,
Neural Network (MLP),all,zscore,within_subject,last_90s,0.5322690038048336,0.5200064226968224,,
Random Forest,all,zscore,within_subject,last_90s,0.5274886093563548,0.5223599886171857,,
SVM,all,zscore,within_subject,last_90s,0.5262901972336617,0.5192761933983367,,
XGBoost,eeg,zscore,within_subject,last_90s,0.5238294109691062,0.5174544294861432,,
Random Forest,physio,zscore,within_subject,last_90s,0.5195325069516982,0.5048130483472495,,
Neural Network (MLP),physio,zscore,within_subject,last_90s,0.5134963316933593,0.5076488392018579,,
