model,modality,baseline_adjustment,normalization,baseline_duration,accuracy_mean,auc_mean,tuned_params,threshold
Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,0.6601675918686458,0.5812252252979766,,
Random Forest,all,zscore,within_subject,last_90s,0.6518440238135342,0.6087066467457978,,
Random Forest,physio,zscore,within_subject,last_90s,0.6465703706490287,0.5967389787922248,,
K-Nearest Neighbors,physio,zscore,within_subject,last_90s,0.6370509518759784,0.5789235023956656,,
K-Nearest Neighbors,all,zscore,within_subject,last_90s,0.6327532398449861,0.5559274429338641,,
Random Forest,eeg,zscore,within_subject,last_90s,0.6322684271543759,0.5840248205842145,,
Neural Network (MLP),physio,zscore,within_subject,last_90s,0.6263830347114454,0.5610201213302923,,
XGBoost,all,zscore,within_subject,last_90s,0.6214201487937316,0.5778588407717835,,
K-Nearest Neighbors,eeg,zscore,within_subject,last_90s,0.6076228915970708,0.5376768501665143,,
XGBoost,physio,zscore,within_subject,last_90s,0.5999466828800599,0.5466265429452033,,
SVM,physio,zscore,within_subject,last_90s,0.5992304362022597,0.5831847653471127,,
Linear Discriminant Analysis,all,zscore,within_subject,last_90s,0.5979290026146055,0.547155785666153,,
Neural Network (MLP),all,zscore,within_subject,last_90s,0.5957365072059714,0.5392957429822773,,
SVM,all,zscore,within_subject,last_90s,0.5925529447910539,0.5818487000251468,,
Linear Discriminant Analysis,eeg,zscore,within_subject,last_90s,0.5896702324006302,0.5245369169408247,,
