model,modality,baseline_adjustment,normalization,baseline_duration,auc_mean,accuracy_mean,tuned_params,threshold
Random Forest,all,zscore,within_subject,last_90s,0.6087066467457978,0.6518440238135342,,
Random Forest,physio,zscore,within_subject,last_90s,0.5967389787922248,0.6465703706490287,,
Random Forest,eeg,zscore,within_subject,last_90s,0.5840248205842145,0.6322684271543759,,
SVM,physio,zscore,within_subject,last_90s,0.5831847653471127,0.5992304362022597,,
Logistic Regression,physio,zscore,within_subject,last_90s,0.5827041834125075,0.5858735585035342,,
SVM,all,zscore,within_subject,last_90s,0.5818487000251468,0.5925529447910539,,
Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,0.5812252252979766,0.6601675918686458,,
K-Nearest Neighbors,physio,zscore,within_subject,last_90s,0.5789235023956656,0.6370509518759784,,
XGBoost,all,zscore,within_subject,last_90s,0.5778588407717835,0.6214201487937316,,
SVM,eeg,zscore,within_subject,last_90s,0.5674882795162745,0.5769982169259074,,
XGBoost,eeg,zscore,within_subject,last_90s,0.564980784498584,0.5892091478392516,,
Logistic Regression,all,zscore,within_subject,last_90s,0.5620460957933757,0.5673731836516609,,
Neural Network (MLP),physio,zscore,within_subject,last_90s,0.5610201213302923,0.6263830347114454,,
K-Nearest Neighbors,all,zscore,within_subject,last_90s,0.5559274429338641,0.6327532398449861,,
Linear Discriminant Analysis,all,zscore,within_subject,last_90s,0.547155785666153,0.5979290026146055,,
