 minimum eigenvalues =   7.654584837962682E-007  1.158754034554618E-006
  1.358255086893167E-006
 maximum eigenvalues =    2.04042754380769       0.359605507112392     
  0.263443971918935     
 num eigs kept =          100
 minimum eigenvalues =   7.654584837962682E-007  1.158754034554618E-006
  1.358255086893167E-006
 maximum eigenvalues =    2.04042754380769       0.359605507112392     
  0.263443971918935     
 num eigs kept =          100
 iter     1 lrate =  0.0500000000 LL =   2.8299571005 nd =  0.0552863330, D =   0.41273E-01  0.41273E-01  (  2.88 s,   0.2 h)
 iter     2 lrate =  0.0500000000 LL =   3.3532368405 nd =  0.0650538258, D =   0.38195E-01  0.38195E-01  (  2.85 s,   0.2 h)
 iter     3 lrate =  0.0500000000 LL =   3.5597727389 nd =  0.0756634281, D =   0.82132E-01  0.82132E-01  (  2.81 s,   0.2 h)
 iter     4 lrate =  0.0500000000 LL =   3.6293005431 nd =  0.1393401522, D =   0.29062E+00  0.29062E+00  (  2.82 s,   0.2 h)
 iter     5 lrate =  0.0500000000 LL =   3.5916204774 nd =  0.1910536096, D =   0.75694E+00  0.75694E+00  (  2.87 s,   0.2 h)
 iter     6 lrate =  0.0500000000 LL =   3.6095750510 nd =  0.1004758752, D =   0.12604E+01  0.12604E+01  (  2.85 s,   0.2 h)
 iter     7 lrate =  0.0500000000 LL =   3.6527123090 nd =  0.0945409052, D =   0.14866E+01  0.14866E+01  (  2.84 s,   0.2 h)
 iter     8 lrate =  0.0500000000 LL =   3.6876349010 nd =  0.1089499223, D =   0.18847E+01  0.18847E+01  (  2.88 s,   0.2 h)
 iter     9 lrate =  0.0500000000 LL =   3.6687987650 nd =  0.1783658290, D =   0.23691E+01  0.23691E+01  (  3.00 s,   0.2 h)
 iter    10 lrate =  0.0500000000 LL =   3.6577928839 nd =  0.1338429582, D =   0.28519E+01  0.28519E+01  (  2.93 s,   0.2 h)
 iter    11 lrate =  0.0250000000 LL =   3.6957360778 nd =  0.1006961156, D =   0.29315E+01  0.29315E+01  ( 11.80 s,   0.6 h)
 iter    12 lrate =  0.0250000000 LL =   3.7066564682 nd =  0.1567411102, D =   0.30857E+01  0.30857E+01  (  2.98 s,   0.2 h)
