 minimum eigenvalues =   2.943777587279224E-007  3.934194039672324E-007
  7.632813000561438E-007
 maximum eigenvalues =   0.839256194104919       8.890602836139305E-003
  6.579072784066593E-003
 num eigs kept =           80
 minimum eigenvalues =   2.943777587279224E-007  3.934194039672324E-007
  7.632813000561438E-007
 maximum eigenvalues =   0.839256194104919       8.890602836139305E-003
  6.579072784066593E-003
 num eigs kept =           80
 iter     1 lrate =  0.0500000000 LL =   3.7975315007 nd =  0.0559516745, D =   0.25761E-01  0.25761E-01  (  7.79 s,   0.4 h)
 iter     2 lrate =  0.0500000000 LL =   4.1320637111 nd =  0.0632030619, D =   0.23706E-01  0.23706E-01  (  6.93 s,   0.4 h)
 iter     3 lrate =  0.0500000000 LL =   4.2527391931 nd =  0.1725701146, D =   0.54209E-01  0.54209E-01  (  6.60 s,   0.4 h)
 iter     4 lrate =  0.0500000000 LL =   4.2545773627 nd =  0.0837475889, D =   0.35218E+00  0.35218E+00  (  6.62 s,   0.4 h)
 iter     5 lrate =  0.0500000000 LL =   4.3004508075 nd =  0.1402922183, D =   0.51353E+00  0.51353E+00  (  6.02 s,   0.3 h)
 iter     6 lrate =  0.0500000000 LL =   4.2935801239 nd =  0.1560803034, D =   0.88541E+00  0.88541E+00  (  6.46 s,   0.3 h)
 iter     7 lrate =  0.0500000000 LL =   4.3146724724 nd =  0.0779767691, D =   0.11298E+01  0.11298E+01  (  6.00 s,   0.3 h)
 iter     8 lrate =  0.0500000000 LL =   4.3429842749 nd =  0.0686615829, D =   0.13552E+01  0.13552E+01  (  5.54 s,   0.3 h)
 iter     9 lrate =  0.0500000000 LL =   4.3659673731 nd =  0.0837099631, D =   0.16595E+01  0.16595E+01  (  5.20 s,   0.3 h)
 iter    10 lrate =  0.0500000000 LL =   4.3712931935 nd =  0.1599089461, D =   0.19935E+01  0.19935E+01  (  5.08 s,   0.3 h)
 iter    11 lrate =  0.0500000000 LL =   4.3260941071 nd =  0.1887705317, D =   0.23330E+01  0.23330E+01  ( 16.07 s,   0.8 h)
 iter    12 lrate =  0.0500000000 LL =   4.3608783139 nd =  0.0881767247, D =   0.26359E+01  0.26359E+01  (  4.34 s,   0.2 h)
 iter    13 lrate =  0.0500000000 LL =   4.3875583069 nd =  0.0965817518, D =   0.27843E+01  0.27843E+01  (  3.91 s,   0.2 h)
 iter    14 lrate =  0.0500000000 LL =   4.3761648866 nd =  0.1852674962, D =   0.29955E+01  0.29955E+01  (  3.65 s,   0.2 h)
 iter    15 lrate =  0.0250000000 LL =   4.3907263731 nd =  0.1630954458, D =   0.30965E+01  0.30965E+01  (  4.09 s,   0.2 h)
 iter    16 lrate =  0.0250000000 LL =   4.3868434396 nd =  0.1875792763, D =   0.31877E+01  0.31877E+01  (  4.21 s,   0.2 h)
 iter    17 lrate =  0.0250000000 LL =   4.3887264261 nd =  0.1677667815, D =   0.32832E+01  0.32832E+01  (  4.41 s,   0.2 h)
 iter    18 lrate =  0.0250000000 LL =   4.3955239024 nd =  0.1890277432, D =   0.33550E+01  0.33550E+01  (  4.44 s,   0.2 h)
 iter    19 lrate =  0.0250000000 LL =   4.3807560319 nd =  0.1881778172, D =   0.34496E+01  0.34496E+01  (  4.67 s,   0.2 h)
 iter    20 lrate =  0.0250000000 LL =   4.3983797020 nd =  0.1550003590, D =   0.35025E+01  0.35025E+01  (  4.22 s,   0.2 h)
 iter    21 lrate =  0.0250000000 LL =   4.3965437086 nd =  0.1872790841, D =   0.35767E+01  0.35767E+01  ( 12.01 s,   0.6 h)
 iter    22 lrate =  0.0125000000 LL =   4.4179958756 nd =  0.1145538336, D =   0.35959E+01  0.35959E+01  (  4.27 s,   0.2 h)
 iter    23 lrate =  0.0125000000 LL =   4.4103172730 nd =  0.2533074647, D =   0.36291E+01  0.36291E+01  (  3.85 s,   0.2 h)
 iter    24 lrate =  0.0125000000 LL =   4.3947112739 nd =  0.2337750736, D =   0.36686E+01  0.36686E+01  (  4.57 s,   0.2 h)
 iter    25 lrate =  0.0125000000 LL =   4.4148314398 nd =  0.1529547179, D =   0.36854E+01  0.36854E+01  (  4.36 s,   0.2 h)
 iter    26 lrate =  0.0125000000 LL =   4.4095641033 nd =  0.2445207054, D =   0.37156E+01  0.37156E+01  (  4.15 s,   0.2 h)
 iter    27 lrate =  0.0062500000 LL =   4.4250588161 nd =  0.1919222040, D =   0.37250E+01  0.37250E+01  (  4.00 s,   0.2 h)
 iter    28 lrate =  0.0062500000 LL =   4.4204980097 nd =  0.2619739228, D =   0.37406E+01  0.37406E+01  (  4.18 s,   0.2 h)
 iter    29 lrate =  0.0062500000 LL =   4.4172459029 nd =  0.2706503563, D =   0.37541E+01  0.37541E+01  (  4.12 s,   0.2 h)
 iter    30 lrate =  0.0062500000 LL =   4.4195193559 nd =  0.2611279058, D =   0.37690E+01  0.37690E+01  (  4.10 s,   0.2 h)
 iter    31 lrate =  0.0062500000 LL =   4.4189613927 nd =  0.2566404867, D =   0.37801E+01  0.37801E+01  ( 10.87 s,   0.5 h)
