feature,term,F,p,eta_sq_part,sig
hrv_rmssd_full_change_precond,stress_level,0.08968674151186966,0.7651071297432706,7.659661923074645e-4,
hrv_rmssd_full_change_precond,workload_level,1.812984090187113,0.18075338310747585,0.015259141112144235,
hrv_rmssd_full_change_precond,stress_level:workload_level,0.001915359917820451,0.9651664701452286,1.6370329596130778e-5,
hr_heartrate_bpm_med_abs_full_change_precond,stress_level,1.1650661237870499,0.2826374683641932,0.00985964940405105,
hr_heartrate_bpm_med_abs_full_change_precond,workload_level,1.1487658691030795,0.28601350954057436,0.009723045862161576,
hr_heartrate_bpm_med_abs_full_change_precond,stress_level:workload_level,0.4795798437713936,0.4899849061992154,0.004082240031920068,
gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,stress_level,4.3393100862991005,0.039477929611553275,0.03666837404354185,*
gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,workload_level,1.1383634187125813,0.2882527151089301,0.00988691679221464,
gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond,stress_level:workload_level,1.0622535088737073,0.30488346236934394,0.009231989435977675,
gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,stress_level,0.20761412236738028,0.6497413443229481,0.002301514394181294,
gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,workload_level,0.14602512028277537,0.7032640537966693,0.001619873090221477,
gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond,stress_level:workload_level,2.9930807970854914e-5,0.995646979198288,3.325644224103672e-7,
eeg_fm_theta_mean_full_change_precond,stress_level,0.3463767949339542,0.557305803223471,0.0029517468233318978,
eeg_fm_theta_mean_full_change_precond,workload_level,0.019475315475113258,0.8892523406316548,1.6642798493677545e-4,
eeg_fm_theta_mean_full_change_precond,stress_level:workload_level,0.04041146758217394,0.8410272698400829,3.452779008160536e-4,
eeg_f_beta_mean_full_change_precond,stress_level,0.2767173066341742,0.5998566215653809,0.0023595246608980646,
eeg_f_beta_mean_full_change_precond,workload_level,0.15465751410954406,0.6948393006524873,0.0013201140901369444,
eeg_f_beta_mean_full_change_precond,stress_level:workload_level,0.005841804678261351,0.9392061951453932,4.9927461639165586e-5,
eeg_p_alpha_mean_full_change_precond,stress_level,1.1444997425776486,0.28690560295298634,0.009687287559483285,
eeg_p_alpha_mean_full_change_precond,workload_level,0.3280827503326319,0.5678893503333377,0.002796284935728243,
eeg_p_alpha_mean_full_change_precond,stress_level:workload_level,0.7848440237957226,0.3774809719671315,0.006663370234944344,
pupil_dilation_med_full_change_precond,stress_level,0.21021742811269062,0.6474548841194152,0.0018089410102233956,
pupil_dilation_med_full_change_precond,workload_level,0.058312858673060235,0.8096090310847043,5.024444801646322e-4,
pupil_dilation_med_full_change_precond,stress_level:workload_level,0.025464669628618878,0.8734921906847867,2.1947483426269467e-4,
