condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
High Stress - High Cog,HS–HW,stress,eda_mean_precond_Z,EDA,-0.004142284755473695,0.9779544815006496,0.9928577079719154,47
High Stress - High Cog,HS–HW,workload,eda_mean_precond_Z,EDA,0.11365143736510488,0.4468698846101845,0.4468698846101845,47
High Stress - Low Cog,HS–LW,stress,eda_mean_precond_Z,EDA,0.14513921372052466,0.33035572161266635,0.6059853336439651,47
High Stress - Low Cog,HS–LW,workload,eda_mean_precond_Z,EDA,0.09424451993957403,0.5286195815757212,0.9145157377981125,47
Low Stress - High Cog,LS–HW,stress,eda_mean_precond_Z,EDA,0.44168651301241674,0.0018832291239369733,0.005021944330498595,47
Low Stress - High Cog,LS–HW,workload,eda_mean_precond_Z,EDA,0.0292625093639657,0.8451946300963482,0.8451946300963482,47
Low Stress - Low Cog,LS–LW,stress,eda_mean_precond_Z,EDA,0.23920638955422974,0.10536901371875393,0.14177590286657504,47
Low Stress - Low Cog,LS–LW,workload,eda_mean_precond_Z,EDA,0.11382427053904062,0.44617456855942284,0.6566606045667635,47
High Stress - High Cog,HS–HW,stress,eda_med_precond_Z,EDA,-0.0013418668926182392,0.9928577079719154,0.9928577079719154,47
High Stress - High Cog,HS–HW,workload,eda_med_precond_Z,EDA,0.13867395551782336,0.35257679693325905,0.4468698846101845,47
High Stress - Low Cog,HS–LW,stress,eda_med_precond_Z,EDA,0.14262167189318198,0.33890212589338253,0.6059853336439651,47
High Stress - Low Cog,HS–LW,workload,eda_med_precond_Z,EDA,0.09465351661631118,0.5268240834173411,0.9145157377981125,47
Low Stress - High Cog,LS–HW,stress,eda_med_precond_Z,EDA,0.48139521349679165,6.133178237946163e-4,0.004906542590356931,47
Low Stress - High Cog,LS–HW,workload,eda_med_precond_Z,EDA,0.0474559004976989,0.7514263845283298,0.8451946300963482,47
Low Stress - Low Cog,LS–LW,stress,eda_med_precond_Z,EDA,0.25171353297693383,0.08785998600088665,0.14177590286657504,47
Low Stress - Low Cog,LS–LW,workload,eda_med_precond_Z,EDA,0.10261208091915576,0.4924954534250726,0.6566606045667635,47
High Stress - High Cog,HS–HW,stress,eda_peakarea_precond_Z,EDA,0.2565073852563909,0.1369037209713685,0.5585165572003753,35
High Stress - High Cog,HS–HW,workload,eda_peakarea_precond_Z,EDA,0.13825191729856448,0.42834933545656206,0.4468698846101845,35
