analysis,feature,modality,n_participants,n_obs,model_type,converged,singular,shapiro_p,hetero_rho,hetero_p,interaction_p,interaction_q,interaction_p_boot,interaction_q_boot
stress_by_workload,hrv_rmssd_precond,Physiological,47,188,fe_lm,TRUE,TRUE,0.002227149345427096,0.051466820177713625,0.4830308898508351,0.8268503806851352,0.8673960755486039,NA,NA
stress_by_workload,hr_med_precond,Physiological,47,188,fe_lm,TRUE,TRUE,3.7293422010983287e-4,-0.0044373769088513785,0.951807778604021,0.38965602439409974,0.8673960755486039,NA,NA
stress_by_workload,eda_tonic_mean_precond,Physiological,47,188,fe_lm,TRUE,TRUE,0.04284948239447893,0.008945180294250158,0.9030300347208782,0.7879511317289207,0.8673960755486039,NA,NA
stress_by_workload,eda_pkht_mean_precond,Physiological,47,176,fe_lm,TRUE,TRUE,0.005015791374848172,0.08757161480905604,0.2477988920706582,0.8673960755486039,0.8673960755486039,NA,NA
stress_by_workload,eeg_fm_theta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,1.7879055022558023e-4,0.05601587938360929,0.4602596379555185,0.34557037613566155,0.5759506268927693,NA,NA
stress_by_workload,eeg_f_beta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,6.556143345338061e-4,0.0702422467130278,0.35425193951264433,0.9888971251586914,0.9888971251586914,NA,NA
stress_by_workload,eeg_p_alpha_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,1.7043710433467408e-5,0.07259532125585712,0.33832137778789106,0.9850617471981233,0.9888971251586914,NA,NA
stress_by_workload,eeg_ab_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,0.02313305496121796,-0.013940135340160233,0.8543053495232535,0.13413423522931014,0.5759506268927693,NA,NA
stress_by_workload,eeg_tb_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,0.004295732186606547,-0.036523302934939765,0.6303428238876638,0.33304784190935766,0.5759506268927693,NA,NA
stress_by_workload,pupil_full_pupil_med_precond,Physiological,47,185,fe_lm,TRUE,TRUE,3.4521504708340846e-5,-0.10463236949057428,0.15636549592478302,0.14408458532993754,0.7204229266496877,NA,NA
workload_by_stress,hrv_rmssd_precond,Physiological,47,188,fe_lm,TRUE,TRUE,8.902949159182526e-5,0.01154584883123512,0.8750414208466167,0.827422283075451,0.9758604040928788,NA,NA
workload_by_stress,hr_med_precond,Physiological,47,188,fe_lm,TRUE,TRUE,2.736060188138464e-6,-0.033712806333332936,0.6460227573359807,0.8067733951121883,0.9758604040928788,NA,NA
workload_by_stress,eda_tonic_mean_precond,Physiological,47,188,fe_lm,TRUE,TRUE,4.675265196343014e-5,0.05826387697458115,0.427066763359903,0.7940845493333066,0.9758604040928788,NA,NA
workload_by_stress,eda_pkht_mean_precond,Physiological,47,176,fe_lm,TRUE,TRUE,1.0221814147585625e-4,0.16159538364961795,0.032142693216750805,0.9758604040928788,0.9758604040928788,NA,NA
workload_by_stress,eeg_fm_theta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,3.326336486618932e-5,0.01201520803744985,0.8742443291335944,0.5950641112532395,0.7438301390665494,NA,NA
workload_by_stress,eeg_f_beta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,2.800502355816502e-5,-0.08347471407899458,0.2707009552712431,0.9194615182285859,0.9194615182285859,NA,NA
workload_by_stress,eeg_p_alpha_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,7.100190544901541e-6,0.17161815697495925,0.02275801251886099,0.319729188655456,0.7438301390665494,NA,NA
workload_by_stress,eeg_ab_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,0.003985198152619733,0.04393579782495173,0.5625887686149507,0.32316065721886755,0.7438301390665494,NA,NA
workload_by_stress,eeg_tb_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,2.728444852149741e-4,0.034345184179180144,0.6508892311235467,0.5007499024572775,0.7438301390665494,NA,NA
workload_by_stress,pupil_full_pupil_med_precond,Physiological,47,185,fe_lm,TRUE,TRUE,1.1395094907509034e-6,-0.014513313584260147,0.8445516449438262,0.8063847836913307,0.9758604040928788,NA,NA
