analysis,feature,modality,n_participants,n_obs,model_type,converged,singular,shapiro_p,hetero_rho,hetero_p,interaction_term,interaction_est,interaction_se,interaction_df,interaction_t,interaction_p,interaction_p_boot,interaction_ci_low,interaction_ci_high,slope_low,slope_high,interaction_q,interaction_q_boot
stress_by_workload,hrv_rmssd_precond,Physiological,47,188,fe_lm,TRUE,TRUE,0.002227149345427096,0.051466820177713625,0.4830308898508351,rating_w:moderatorHigh,0.023400847533253732,0.10677589859116128,138,0.21915851650056553,0.8268503806851352,NA,NA,NA,-0.06298129770517727,-0.039580450171923534,0.8673960755486039,NA
stress_by_workload,hr_med_precond,Physiological,47,188,fe_lm,TRUE,TRUE,3.7293422010983287e-4,-0.0044373769088513785,0.951807778604021,rating_w:moderatorHigh,-0.0861286540207881,0.09980593261429278,138,-0.8629612665775941,0.38965602439409974,NA,NA,NA,0.24151523856726198,0.15538658454647386,0.8673960755486039,NA
stress_by_workload,eda_tonic_mean_precond,Physiological,47,188,fe_lm,TRUE,TRUE,0.04284948239447893,0.008945180294250158,0.9030300347208782,rating_w:moderatorHigh,0.02686478456178827,0.09968555522056786,138,0.2694952593918575,0.7879511317289207,NA,NA,NA,0.20245540001380766,0.22932018457559594,0.8673960755486039,NA
stress_by_workload,eda_pkht_mean_precond,Physiological,47,176,fe_lm,TRUE,TRUE,0.005015791374848172,0.08757161480905604,0.2477988920706582,rating_w:moderatorHigh,0.017307429004501725,0.10344662538490713,126,0.1673078163749059,0.8673960755486039,NA,NA,NA,0.09580612561936297,0.11311355462386469,0.8673960755486039,NA
stress_by_workload,eeg_fm_theta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,1.7879055022558023e-4,0.05601587938360929,0.4602596379555185,rating_w:moderatorHigh,0.10430452468995591,0.11017895651723855,129,0.946682814822597,0.34557037613566155,NA,NA,NA,0.056582434138789994,0.1608869588287459,0.5759506268927693,NA
stress_by_workload,eeg_f_beta_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,6.556143345338061e-4,0.0702422467130278,0.35425193951264433,rating_w:moderatorHigh,-0.0015282878490210658,0.10961095198994918,129,-0.013942838934207988,0.9888971251586914,NA,NA,NA,0.10505932335141356,0.1035310355023925,0.9888971251586914,NA
stress_by_workload,eeg_p_alpha_power_precond,EEG,44,176,fe_lm,TRUE,TRUE,1.7043710433467408e-5,0.07259532125585712,0.33832137778789106,rating_w:moderatorHigh,0.002061043825203094,0.10986520374279851,129,0.01875975063067402,0.9850617471981233,NA,NA,NA,0.11916774232510172,0.12122878615030482,0.9888971251586914,NA
stress_by_workload,eeg_ab_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,0.02313305496121796,-0.013940135340160233,0.8543053495232535,rating_w:moderatorHigh,0.16224977896724194,0.10763022014517698,129,1.5074741903193303,0.13413423522931014,NA,NA,NA,-0.020681991640652826,0.14156778732658912,0.5759506268927693,NA
stress_by_workload,eeg_tb_ratio_precond,EEG,44,176,fe_lm,TRUE,TRUE,0.004295732186606547,-0.036523302934939765,0.6303428238876638,rating_w:moderatorHigh,0.10493757427124233,0.10800042543668519,129,0.9716403787016705,0.33304784190935766,NA,NA,NA,-0.024370992800637245,0.08056658147060508,0.5759506268927693,NA
stress_by_workload,pupil_full_pupil_med_precond,Physiological,47,185,fe_lm,TRUE,TRUE,3.4521504708340846e-5,-0.10463236949057428,0.15636549592478302,rating_w:moderatorHigh,-0.15671093533648292,0.10665864674400809,135,-1.4692754888650104,0.14408458532993754,NA,NA,NA,0.1856614549576274,0.028950519621144477,0.7204229266496877,NA
