term,estimate,std_error,df,t_value,p_value,dataset,model_type,singular,feature,p_fdr
(Intercept),-0.11262373542751225,1.552372166821656,138,-0.07254944261085236,0.942269704131729,all_conditions,fe_lm,NA,hrv_rmssd_precond,NA
workload_w,0.08089548768337348,0.09968108228356888,138,0.8115430313371311,0.41845144703007797,all_conditions,fe_lm,NA,hrv_rmssd_precond,NA
stress_w,-1.4944033809316545e-4,0.09727690654785054,138,-0.0015362365374936723,0.9987764795826105,all_conditions,fe_lm,NA,hrv_rmssd_precond,NA
workload_w:stress_w,0.10201229083758959,0.12869855325598373,138,0.7926452027373245,0.4293451332860867,all_conditions,fe_lm,NA,hrv_rmssd_precond,0.7806275150656121
(Intercept),-8.572077546101284e-15,1.772538702646846,32,-4.8360453474448916e-15,0.9999999999999962,low_stress_only,fe_lm,NA,hrv_rmssd_precond,NA
workload_w,0.20238095238095233,0.22907968355407163,32,0.8834522085987718,0.38358130531547385,low_stress_only,fe_lm,NA,hrv_rmssd_precond,NA
stress_w,-0.13095238095238104,0.2290796835540716,32,-0.5716455467403824,0.5715559837465416,low_stress_only,fe_lm,NA,hrv_rmssd_precond,NA
(Intercept),0.17690124350349937,1.4723850280276505,138,0.12014604885005478,0.9045421976154822,all_conditions,fe_lm,NA,hr_med_precond,NA
workload_w,-0.1397710723417957,0.09454493984674787,138,-1.4783559286023862,0.14159138034215432,all_conditions,fe_lm,NA,hr_med_precond,NA
stress_w,0.35396474398247246,0.09226464106680606,138,3.8364073158446175,1.8927126427389544e-4,all_conditions,fe_lm,NA,hr_med_precond,NA
workload_w:stress_w,-0.1602335514206468,0.12206726389001255,138,-1.3126660360391431,0.19147437009461504,all_conditions,fe_lm,NA,hr_med_precond,0.6382479003153835
(Intercept),-4.496726165543001e-15,1.7074195054295724,30,-2.63363874621525e-15,0.9999999999999979,low_stress_only,fe_lm,NA,hr_med_precond,NA
workload_w,-0.012820512820513049,0.22215646627397925,30,-0.05770938400101249,0.9543627971334797,low_stress_only,fe_lm,NA,hr_med_precond,NA
stress_w,0.32051282051282076,0.22215646627397923,30,1.4427346000252879,0.15945578114243883,low_stress_only,fe_lm,NA,hr_med_precond,NA
(Intercept),-0.04962966036260712,1.4365928360141509,138,-0.03454678258058517,0.9724910569638262,all_conditions,fe_lm,NA,eda_tonic_mean_precond,NA
workload_w,-0.09293650866445967,0.09224664790782984,138,-1.007478437127809,0.3154681693886737,all_conditions,fe_lm,NA,eda_tonic_mean_precond,NA
stress_w,0.4258864409489754,0.09002178088671889,138,4.730926635242864,5.462982572974734e-6,all_conditions,fe_lm,NA,eda_tonic_mean_precond,NA
workload_w:stress_w,0.04495353779434967,0.11909993206814089,138,0.3774438575551018,0.7064236289170185,all_conditions,fe_lm,NA,eda_tonic_mean_precond,0.9987764795826105
(Intercept),1.44720979665591e-15,1.7143643831155757,32,8.441669757661693e-16,0.9999999999999993,low_stress_only,fe_lm,NA,eda_tonic_mean_precond,NA
workload_w,-0.023809523809524048,0.22156134012422324,32,-0.10746244717681665,0.9150930609532371,low_stress_only,fe_lm,NA,eda_tonic_mean_precond,NA
stress_w,0.30952380952380953,0.22156134012422324,32,1.3970118132986025,0.1720232938966966,low_stress_only,fe_lm,NA,eda_tonic_mean_precond,NA
(Intercept),-0.07676794578282722,1.5208144020391512,105,-0.050478181742554896,0.9598372364373214,all_conditions,fe_lm,NA,eda_pkht_mean_precond,NA
workload_w,-0.09353881964736166,0.11141547303060476,105,-0.8395496343821782,0.40306842084348493,all_conditions,fe_lm,NA,eda_pkht_mean_precond,NA
stress_w,0.26393820525184936,0.10846230262629503,105,2.433455669489554,0.01664422361006163,all_conditions,fe_lm,NA,eda_pkht_mean_precond,NA
workload_w:stress_w,0.06953484523022173,0.1421413817845935,105,0.4891949434936372,0.6257240370245967,all_conditions,fe_lm,NA,eda_pkht_mean_precond,0.9987764795826105
(Intercept),3.8966699845634486e-15,1.7624222148770337,24,2.210974164800416e-15,0.9999999999999982,low_stress_only,fe_lm,NA,eda_pkht_mean_precond,NA
workload_w,0.019047619047618942,0.2519463163733283,24,0.07560189536327498,0.9403625037966543,low_stress_only,fe_lm,NA,eda_pkht_mean_precond,NA
stress_w,0.21904761904761896,0.2519463163733282,24,0.8694217966776672,0.39322871395774117,low_stress_only,fe_lm,NA,eda_pkht_mean_precond,NA
(Intercept),0.1336810529610824,1.5257890199100328,132,0.08761437604850822,0.9303159512624697,all_conditions,fe_lm,NA,pupil_full_pupil_med_precond,NA
workload_w,-0.029278535005521345,0.0999518271549709,132,-0.2929264610653517,0.7700383451197778,all_conditions,fe_lm,NA,pupil_full_pupil_med_precond,NA
stress_w,0.20052690217128186,0.09779433620226874,132,2.050496071229837,0.04229516367926008,all_conditions,fe_lm,NA,pupil_full_pupil_med_precond,NA
workload_w:stress_w,-0.12108558113772842,0.1307322953502569,132,-0.9262101672223907,0.3560270804250205,all_conditions,fe_lm,NA,pupil_full_pupil_med_precond,0.7806275150656121
(Intercept),2.457824292453404e-15,1.7764765847465935,31,1.3835388057220028e-15,0.9999999999999989,low_stress_only,fe_lm,NA,pupil_full_pupil_med_precond,NA
workload_w,0.18518518518518526,0.23033767588302115,31,0.8039726218268914,0.4275352329434795,low_stress_only,fe_lm,NA,pupil_full_pupil_med_precond,NA
stress_w,-0.14814814814814783,0.23033767588302093,31,-0.6431780974615122,0.524838052438731,low_stress_only,fe_lm,NA,pupil_full_pupil_med_precond,NA
