subset,rating,feature,rmcorr_r,p_raw,n_pairs,p_fdr,sig
Low workload,stress,hrv_rmssd_precond_Z,-0.21034106663825772,0.15129216908949664,94,0.21180903672529527,
Low workload,stress,hr_med_precond_Z,0.36272769370434443,0.011284877533374158,94,0.033243679868357044,*
Low workload,stress,eda_tonic_mean_precond_Z,0.36762308993202986,0.010154052352279373,94,0.033243679868357044,*
Low workload,stress,eda_pkht_med_precond_Z,NA,NA,70,NA,
Low workload,stress,eeg_fm_theta_power_precond_Z,-0.04260598788754529,0.7810944258095815,88,0.8853089191415766,
Low workload,stress,eeg_f_beta_power_precond_Z,0.02212232363368191,0.8853089191415766,88,0.8853089191415766,
Low workload,stress,eeg_p_alpha_power_precond_Z,0.24254638949792484,0.10841920063752106,88,0.18973360111566184,
Low workload,stress,pupil_full_pupil_med_precond_Z,0.3553261267245302,0.014247291372153019,92,0.033243679868357044,*
High workload,stress,hrv_rmssd_precond_Z,0.11286476637541054,0.44499634800295784,94,0.622994887204141,
High workload,stress,hr_med_precond_Z,0.30967043519537846,0.03220437706146381,94,0.11271531971512334,
High workload,stress,eda_tonic_mean_precond_Z,0.36220592188761896,0.011411547282890485,94,0.0798808309802334,
High workload,stress,eda_pkht_med_precond_Z,NA,NA,66,NA,
High workload,stress,eeg_fm_theta_power_precond_Z,0.26306038724906156,0.08082811636790126,88,0.18859893819176962,
High workload,stress,eeg_f_beta_power_precond_Z,0.059283559003087606,0.6988777775317463,88,0.8153574071203707,
High workload,stress,eeg_p_alpha_power_precond_Z,0.15943055665164754,0.2955118138412533,88,0.5171456742221933,
High workload,stress,pupil_full_pupil_med_precond_Z,0.02795763944881273,0.8520188597187429,92,0.8520188597187429,
Low stress,workload,hrv_rmssd_precond_Z,0.11063409288533628,0.4541023139014939,94,0.6357432394620914,
Low stress,workload,hr_med_precond_Z,0.03893699329650629,0.7927416407786462,94,0.9248652475750873,
Low stress,workload,eda_tonic_mean_precond_Z,0.17971367541272054,0.2216118891873443,94,0.5170944081038035,
Low stress,workload,eda_pkht_med_precond_Z,NA,NA,72,NA,
Low stress,workload,eeg_fm_theta_power_precond_Z,0.150224449427592,0.3246326327759712,88,0.5681071073579496,
Low stress,workload,eeg_f_beta_power_precond_Z,0.011251302338898836,0.9415241187266952,88,0.9415241187266952,
Low stress,workload,eeg_p_alpha_power_precond_Z,0.2042500712983288,0.17835653276216307,88,0.5170944081038035,
Low stress,workload,pupil_full_pupil_med_precond_Z,0.30670711904145637,0.036003338030176905,92,0.25202336621123833,
High stress,workload,hrv_rmssd_precond_Z,-0.13114871154919494,0.3742610334891442,94,0.8618224376346453,
High stress,workload,hr_med_precond_Z,-0.025798511520970586,0.8618224376346453,94,0.8618224376346453,
High stress,workload,eda_tonic_mean_precond_Z,0.11544857614112362,0.43457588419462634,94,0.8618224376346453,
High stress,workload,eda_pkht_med_precond_Z,NA,NA,66,NA,
High stress,workload,eeg_fm_theta_power_precond_Z,0.04877795128179686,0.7503377014030028,88,0.8618224376346453,
High stress,workload,eeg_f_beta_power_precond_Z,-0.24064250746169927,0.11130562096652617,88,0.7791393467656832,
High stress,workload,eeg_p_alpha_power_precond_Z,0.05906412223956203,0.6999400350902635,88,0.8618224376346453,
High stress,workload,pupil_full_pupil_med_precond_Z,0.079513957899512,0.5993876659361824,90,0.8618224376346453,
