timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,lambda,alpha,feature_n,feature_set,features_used
2025-12-18 15:35:22.25066,1,"workload_label",20,0.25,0.4,0.5,0.662790697674419,0.0533669923120631,1,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-18 15:35:32.575974,1,"workload_label",10,0.5,0.5,0.5,0.587209302325581,0.151991108295293,0.25,10,"top10","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond"
2025-12-18 15:35:42.752167,1,"workload_label",5,0.25,0.4,0.25,0.523255813953488,0.00231012970008316,0.75,5,"top5","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond"
2025-12-18 15:35:53.686209,3,"workload_label",20,0.75,0.666666666666667,0.5,0.587209302325581,1.23284673944207,0,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-18 15:36:03.956614,3,"workload_label",10,0.75,0.8,1,0.598837209302326,0.151991108295293,0.25,10,"top10","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond"
2025-12-18 15:36:14.109361,3,"workload_label",5,0.5,0.5,0.5,0.523255813953488,1e-04,0,5,"top5","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond"
2025-12-18 15:36:24.985894,4,"workload_label",20,0.25,0,0.25,0.645348837209302,0.151991108295293,0.25,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond;eda_peakarea_precond"
2025-12-18 15:36:35.265568,4,"workload_label",10,0,0,0,0.61046511627907,0.151991108295293,0.25,10,"top10","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond"
2025-12-18 15:36:45.422909,4,"workload_label",5,0.25,0,0,0.540697674418605,0.00231012970008316,1,5,"top5","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond"
2025-12-18 15:36:56.313122,5,"workload_label",20,1,1,1,0.627906976744186,0.151991108295293,0.25,20,"top20","eeg_fl_hbeta_power_precond;eeg_fr_theta_power_precond;eeg_tright_lalpha_power_precond;eeg_tright_halpha_power_precond;eeg_tright_lbeta_power_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
