timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 12:46:22.888185,1,"stress_label",5,0.25,0,1,0.540697674418605,64,0.03,5,"top5","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:46:29.824214,3,"stress_label",5,0.25,0,0.5,0.453488372093023,32,0.0078125,5,"top5","eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fm_hbeta_power_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:46:36.745226,4,"stress_label",5,0.5,0.5,0.5,0.534883720930233,8,0.06,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:46:43.107732,5,"stress_label",5,0.5,0.5,0.75,0.569767441860465,32,0.1,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_fr_theta_power_precond;eeg_faa_precond"
2025-12-19 12:46:49.902563,6,"stress_label",5,0.75,0.666666666666667,1,0.552325581395349,64,0.1,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:46:56.666104,7,"stress_label",5,0.5,0.5,0.75,0.459302325581395,128,0.1,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:47:03.277404,9,"stress_label",5,0.25,0,0,0.552325581395349,16,0.0625,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:47:09.766353,10,"stress_label",5,0.75,0.8,0.75,0.552325581395349,32,0.125,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond"
2025-12-19 12:47:16.509963,11,"stress_label",5,0.5,0.5,0.5,0.377906976744186,8,0.0078125,5,"top5","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:47:22.964871,12,"stress_label",5,0.25,0,0,0.529069767441861,128,0.125,5,"top5","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:47:29.566656,13,"stress_label",5,0.5,0.5,0.25,0.465116279069767,256,0.1,5,"top5","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_pright_specent_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:47:36.198724,15,"stress_label",5,0,0,0,0.622093023255814,32,0.125,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:47:42.783946,16,"stress_label",5,0.5,0.5,0.25,0.546511627906977,256,0.06,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 12:47:49.130502,17,"stress_label",5,0.75,0.666666666666667,0.5,0.523255813953488,64,0.0625,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:47:55.358778,18,"stress_label",5,0.25,0.4,0.25,0.569767441860465,32,0.125,5,"top5","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:48:01.705563,19,"stress_label",5,0.75,0.666666666666667,0.25,0.47093023255814,256,0.1,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 12:48:07.866984,20,"stress_label",5,0.5,0.5,0.5,0.558139534883721,32,0.125,5,"top5","eeg_fm_specent_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:48:14.147031,21,"stress_label",5,0.75,0.666666666666667,0,0.424418604651163,4,0.03,5,"top5","eeg_fm_specent_precond;eeg_fl_theta_power_precond;eeg_faa_precond;eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 12:48:20.737999,22,"stress_label",5,0.5,0.5,0.25,0.563953488372093,32,0.125,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 12:48:27.220268,23,"stress_label",5,0.5,0.5,0.75,0.552325581395349,128,0.0625,5,"top5","eeg_fm_specent_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 12:48:33.465124,24,"stress_label",5,0.5,0.5,0.75,0.593023255813954,16,0.125,5,"top5","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond"
