algorithm,test_pid,acc,f1,auc
RF,1,1,NA,NA
RF,3,1,NA,NA
RF,4,1,NA,NA
RF,5,1,NA,NA
RF,6,1,NA,NA
RF,7,1,NA,NA
RF,9,1,NA,NA
RF,10,1,NA,NA
RF,11,1,NA,NA
RF,12,1,NA,NA
RF,13,1,NA,NA
RF,15,1,NA,NA
RF,16,1,NA,NA
RF,18,1,NA,NA
RF,19,1,NA,NA
RF,20,1,NA,NA
RF,21,1,NA,NA
RF,22,1,NA,NA
RF,23,1,NA,NA
RF,24,1,NA,NA
RF,25,1,NA,NA
RF,26,1,NA,NA
RF,27,1,NA,NA
RF,28,1,NA,NA
RF,29,1,NA,NA
RF,30,1,NA,NA
RF,31,1,NA,NA
RF,32,1,NA,NA
RF,33,1,NA,NA
RF,34,1,NA,NA
RF,35,1,NA,NA
RF,36,1,NA,NA
RF,37,1,NA,NA
RF,38,1,NA,NA
RF,39,1,NA,NA
RF,40,1,NA,NA
RF,41,1,NA,NA
RF,42,1,NA,NA
RF,43,1,NA,NA
RF,44,1,NA,NA
RF,45,1,NA,NA
RF,47,1,NA,NA
RF,48,1,NA,NA
