feature,stress_consistency,workload_consistency
eeg_fr_hbeta_power_precond,0.5681818181818182,0.6363636363636364
eeg_fl_hbeta_power_precond,0.5227272727272727,0.6136363636363636
eeg_fl_lalpha_power_precond,0.5454545454545454,0.6136363636363636
eeg_fr_theta_power_precond,0.5227272727272727,0.6136363636363636
eeg_f_hbeta_power_precond,0.5454545454545454,0.5909090909090909
eeg_fl_beta_power_precond,0.45454545454545453,0.5909090909090909
eeg_fr_beta_power_precond,0.5681818181818182,0.5909090909090909
eeg_fr_lalpha_power_precond,0.5227272727272727,0.5909090909090909
eeg_f_halpha_power_precond,0.5454545454545454,0.5681818181818182
eeg_f_lalpha_power_precond,0.5681818181818182,0.5681818181818182
eeg_f_theta_power_precond,0.4772727272727273,0.5681818181818182
eeg_fl_alpha_power_precond,0.5454545454545454,0.5681818181818182
eeg_fl_halpha_power_precond,0.5,0.5681818181818182
eeg_fr_lbeta_power_precond,0.4772727272727273,0.5681818181818182
eeg_fl_theta_power_precond,0.5227272727272727,0.5454545454545454
eeg_fr_alpha_power_precond,0.5454545454545454,0.5454545454545454
eeg_f_alpha_power_precond,0.5227272727272727,0.5227272727272727
eeg_fl_lbeta_power_precond,0.5909090909090909,0.5227272727272727
eeg_f_lbeta_power_precond,0.4772727272727273,0.5
eeg_fr_halpha_power_precond,0.5681818181818182,0.5
