feature,stress_d,workload_d,stronger_for
eeg_fm_lbeta_power_precond,0.30872159998085136,0.13859468083179807,Stress
eeg_tleft_lbeta_power_precond,0.3068953398887492,0.0067565231201498184,Stress
eeg_tleft_beta_power_precond,0.29464530625264296,0.04034147104841266,Stress
eda_mean_precond,0.29332114706340723,0.1576616614862531,Stress
eda_tonic_mean_precond,0.29233752320049594,0.1580256486043863,Stress
hr_mean_precond,0.27616204456352555,0.23196042062232597,Stress
hr_sd_precond,0.27594340342678464,0.09609994715146489,Stress
hr_med_precond,0.275190769902918,0.275190769902918,Equal
eeg_t_lbeta_power_precond,0.270163326616553,0.03248968641090609,Stress
eda_med_precond,0.2694945465674352,0.1676424899937397,Stress
eeg_fm_beta_power_precond,0.2657703870685446,0.0600534385959008,Stress
eeg_t_beta_power_precond,0.26141602249360674,0.012118565263279783,Stress
eeg_c_lbeta_power_precond,0.24227485394120818,0.0019620092539256234,Stress
eeg_tleft_hbeta_power_precond,0.24110664793054642,0.09195773483216127,Stress
eeg_tleft_halpha_power_precond,0.22879645989422462,0.047244929557657425,Stress
eeg_fm_halpha_power_precond,0.22750157451006942,0.20582358577123375,Stress
eeg_tleft_alpha_power_precond,0.21880933025473082,0.033678444958674295,Stress
eeg_tleft_theta_power_precond,0.21600492709619876,0.08307060637429918,Stress
eeg_fm_alpha_power_precond,0.21595209133959078,0.22784799789510882,Workload
eeg_t_halpha_power_precond,0.21258024554573693,0.007832500705139253,Stress
eeg_t_hbeta_power_precond,0.21257382074094627,0.08163734579242676,Stress
eeg_t_theta_power_precond,0.20906564977870723,0.1378989219606636,Stress
eda_pkrate_precond,0.19358198490032139,0.04542728241768275,Stress
eeg_t_alpha_power_precond,0.19355529830504106,0.01894555199239777,Stress
eeg_c_beta_power_precond,0.1929312874079581,0.04284881835826873,Stress
eeg_fm_theta_power_precond,0.19085832655309504,0.27849816811429134,Workload
eeg_fm_hbeta_power_precond,0.18996413497156986,0.029189999552778435,Stress
eeg_f_lbeta_power_precond,0.18762222192540082,0.09687563414609475,Stress
eeg_fm_lalpha_power_precond,0.1865274453998473,0.24643440159969676,Workload
eeg_tright_lbeta_power_precond,0.18598879208195937,0.0961933044949271,Stress
eeg_tleft_lalpha_power_precond,0.183840361684354,0.02072493371265876,Stress
eeg_fr_lbeta_power_precond,0.18293088447638076,0.04865769332798656,Stress
eeg_tright_beta_power_precond,0.1808771713518663,0.05063528644258518,Stress
eeg_f_beta_power_precond,0.16290378297236546,0.02081096470452045,Stress
eeg_c_halpha_power_precond,0.1572616892535702,0.02079528506085564,Stress
eeg_fr_beta_power_precond,0.15637608717741666,0.012668569056295279,Stress
hrv_rmssd_precond,0.15410218341763485,0.17497760040688753,Workload
eeg_t_lalpha_power_precond,0.14728348750131956,0.06970844282350579,Stress
eeg_pright_lbeta_power_precond,0.14523424937674814,0.13782883838075147,Stress
eeg_tright_hbeta_power_precond,0.1404221260407705,0.027387533120796163,Stress
eeg_tright_halpha_power_precond,0.13825681412119625,0.11016821183530756,Stress
eeg_tright_theta_power_precond,0.1355127720770725,0.19153282074746036,Workload
eeg_c_hbeta_power_precond,0.1340148986303843,0.08934108935545006,Stress
eeg_pleft_lbeta_power_precond,0.1334862218827988,0.09664714385886176,Stress
eeg_f_hbeta_power_precond,0.12743014454842466,0.055519684817314695,Stress
eeg_pright_halpha_power_precond,0.12444680394294555,0.10400139064907998,Stress
eeg_f_halpha_power_precond,0.12127852691994068,0.19675734421447771,Workload
eeg_p_lbeta_power_precond,0.12127699822375428,0.010604570725921466,Stress
eeg_fr_hbeta_power_precond,0.1209458530721666,0.06960427049925798,Stress
eeg_c_alpha_power_precond,0.12010181346115338,0.050140592953046764,Stress
eeg_c_theta_power_precond,0.11714199983873588,0.12808442624444516,Workload
eeg_pright_beta_power_precond,0.11549435023776534,0.16355302090587046,Workload
eeg_tright_alpha_power_precond,0.11411982119135974,0.10545165889278207,Stress
eeg_fl_lbeta_power_precond,0.11411444820536573,0.05901741694244253,Stress
eeg_pleft_beta_power_precond,0.10944947816785457,0.03648867952962913,Stress
eeg_p_beta_power_precond,0.10895727124501481,0.05759133005288171,Stress
eeg_pleft_halpha_power_precond,0.10484977045324538,0.12077409623927615,Workload
eeg_fr_halpha_power_precond,0.10128664024341165,0.1566297929698997,Workload
eeg_faa_precond,0.1008310343008294,0.07588180980484138,Stress
eeg_fl_beta_power_precond,0.09945330536085092,0.03574410248760564,Stress
eeg_f_alpha_power_precond,0.09785063999742248,0.22395616436995153,Workload
eeg_fl_specent_precond,0.09768498244504323,0.20255296550476834,Workload
eeg_p_halpha_power_precond,0.09521480985139777,0.013154543193957738,Stress
eeg_pleft_alpha_power_precond,0.09175848276320696,0.151694565895219,Workload
pupil_full_pupil_med_precond,0.08837094354501855,0.09985528736289767,Workload
eeg_pright_alpha_power_precond,0.08780187727498165,0.059094761653948565,Stress
eeg_p_hbeta_power_precond,0.08530962315720242,0.10676824300156312,Workload
eeg_pright_theta_power_precond,0.0839340761446662,0.08313909180182079,Stress
eeg_fr_alpha_power_precond,0.08307483914466106,0.1873887516817253,Workload
eeg_rightfrontal_alpha_precond,0.08307483914466106,0.1873887516817253,Workload
eeg_c_lalpha_power_precond,0.08233921622399844,0.10829690408483461,Workload
eeg_ab_ratio_precond,0.08201342136761487,0.33164024705328193,Workload
eeg_pright_hbeta_power_precond,0.08170341318970827,0.1765497058991215,Workload
eeg_pleft_theta_power_precond,0.0802521715088352,0.207267987483699,Workload
eda_tonic_sd_precond,0.07906006311782847,0.20790193662633424,Workload
eeg_pleft_lalpha_power_precond,0.07891470576442623,0.21456714947822822,Workload
eeg_f_lalpha_power_precond,0.07885849828553217,0.2587140074421473,Workload
eda_sd_precond,0.07849947011184115,0.20596646005201877,Workload
eeg_fl_hbeta_power_precond,0.07726718085775175,0.12308247821147761,Workload
eeg_p_alpha_power_precond,0.07500982835557582,0.0441414502150878,Stress
eeg_p_theta_power_precond,0.07061774168567762,0.11510887050390685,Workload
eeg_tright_lalpha_power_precond,0.0692787005090468,0.127362452084584,Workload
eeg_f_specent_precond,0.06893187455519768,0.1965237858211433,Workload
eeg_pleft_hbeta_power_precond,0.06860576141054392,0.03370148923185871,Stress
eeg_fr_lalpha_power_precond,0.06685593608376228,0.21989078532543238,Workload
eeg_fr_specent_precond,0.06413432859124275,0.1510066682285389,Workload
pupil_full_pupil_asymmetry_precond,0.0628207316415777,0.09394702705843559,Workload
eeg_tleft_specent_precond,0.06047900985177292,0.2524657270630261,Workload
eeg_f_theta_power_precond,0.059188439323206325,0.29082913207824546,Workload
eeg_p_specent_precond,0.05893444826855348,0.2646855105251453,Workload
eeg_pleft_specent_precond,0.05806386738707049,0.2644475456911828,Workload
eda_pkht_mean_precond,0.05525328224783973,0.08731465994228553,Workload
eda_peakarea_precond,0.05506708443990587,0.08759986803169385,Workload
eeg_fr_theta_power_precond,0.05299688440168889,0.26741072862355947,Workload
eeg_p_lalpha_power_precond,0.04724709637246194,0.11194925120503796,Workload
eeg_fl_halpha_power_precond,0.04715172186926639,0.15135957826650334,Workload
eeg_t_specent_precond,0.04138395462530035,0.22486057387994207,Workload
pupil_full_pupil_mean_precond,0.03969132070745287,0.0028506371776409033,Stress
eeg_c_specent_precond,0.036228395472168204,0.2558979038714704,Workload
eeg_pright_lalpha_power_precond,0.03319884149285197,0.045256609986089776,Workload
eeg_fm_specent_precond,0.03163335092136731,0.25845528010764984,Workload
eeg_pright_specent_precond,0.026957441007629784,0.2550077952290471,Workload
eeg_fl_alpha_power_precond,0.023816825976129025,0.173642912976387,Workload
eeg_tright_specent_precond,0.022616953838655474,0.19155082021916905,Workload
eeg_tb_ratio_precond,0.01558989177534633,0.3388871314205229,Workload
eeg_fl_lalpha_power_precond,0.01477257581307303,0.20803557449877774,Workload
pupil_full_pupil_sd_precond,0.004137836114051881,0.014405297616684644,Workload
eeg_fl_theta_power_precond,0.002385106512210115,0.21329471811659675,Workload
eeg_ta_ratio_precond,0.002262042587677093,0.1655510046391768,Workload
eda_pkht_med_precond,NA,NA,Equal
imi_competence_score_precond,NA,NA,Equal
imi_effort_score_precond,NA,NA,Equal
imi_interest_score_precond,NA,NA,Equal
imi_pressure_score_precond,NA,NA,Equal
mps_phys_presence_score_precond,NA,NA,Equal
mps_social_presence_score_precond,NA,NA,Equal
nasa_effort_precond,NA,NA,Equal
nasa_performance_precond,NA,NA,Equal
