timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 03:10:53.41015,1,"workload_label",20,0.5,0.5,0.5,0.61046511627907,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_tleft_lbeta_power_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fl_specent_precond;eda_pkrate_precond;eeg_fl_theta_power_precond;eeg_ta_ratio_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;hr_sd_precond;eeg_tright_halpha_power_precond;pupil_full_pupil_asymmetry_precond;eeg_tleft_lalpha_power_precond;eda_peakarea_precond;eeg_faa_precond;eda_med_precond"
2025-12-19 03:11:59.35811,1,"workload_label",10,0.5,0.5,0.5,0.616279069767442,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_tleft_lbeta_power_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fl_specent_precond;eda_pkrate_precond;eeg_fl_theta_power_precond"
2025-12-19 03:12:49.501189,1,"workload_label",5,0.5,0.5,0.5,0.651162790697674,2,0.0625,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 03:13:55.077244,3,"workload_label",20,0.25,0.4,0.5,0.563953488372093,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_tright_lbeta_power_precond;eeg_fl_hbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;eeg_ta_ratio_precond;eeg_fm_lbeta_power_precond;eeg_fl_theta_power_precond;eda_peakarea_precond;hr_sd_precond;pupil_full_pupil_sd_precond;eda_med_precond;eeg_faa_precond;eeg_tright_halpha_power_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 03:15:00.130231,3,"workload_label",10,0.25,0.4,0.5,0.616279069767442,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_tright_lbeta_power_precond;eeg_fl_hbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_specent_precond"
2025-12-19 03:15:54.252052,3,"workload_label",5,0.5,0.5,0.5,0.645348837209302,4,0.0078125,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond"
2025-12-19 03:17:08.773672,4,"workload_label",20,0.5,0.5,0.25,0.581395348837209,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;hr_med_precond;eda_sd_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;eeg_ta_ratio_precond;eeg_fl_theta_power_precond;eda_peakarea_precond;pupil_full_pupil_sd_precond;hr_sd_precond;eda_med_precond;pupil_full_pupil_asymmetry_precond;eeg_tright_halpha_power_precond;pupil_full_pupil_mean_precond;eeg_faa_precond"
2025-12-19 03:18:12.686984,4,"workload_label",10,0.5,0.5,0.25,0.598837209302326,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;hr_med_precond;eda_sd_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_specent_precond"
2025-12-19 03:19:08.108611,4,"workload_label",5,0.5,0.5,0.25,0.662790697674419,2,0.0078125,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;hr_med_precond;eda_sd_precond"
2025-12-19 03:20:22.380954,5,"workload_label",20,0.75,0.8,0.75,0.552325581395349,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;eeg_fr_theta_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_lalpha_power_precond;eeg_fm_lbeta_power_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;eeg_tright_halpha_power_precond;hr_sd_precond;eda_med_precond;eeg_faa_precond"
2025-12-19 03:21:24.723135,5,"workload_label",10,0.75,0.8,0.5,0.668604651162791,32,0.06,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_specent_precond;eeg_fm_specent_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;eeg_fr_theta_power_precond"
2025-12-19 03:22:20.166356,5,"workload_label",5,1,1,1,0.627906976744186,2,0.015625,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond"
2025-12-19 03:23:33.975798,6,"workload_label",20,1,1,1,0.546511627906977,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fm_specent_precond;eeg_tright_lbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_ta_ratio_precond;eeg_fl_theta_power_precond;pupil_full_pupil_sd_precond;eeg_faa_precond;hr_sd_precond;eda_med_precond;eeg_tright_halpha_power_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_asymmetry_precond;eda_peakarea_precond"
2025-12-19 03:24:36.4707,6,"workload_label",10,0.75,0.8,0.75,0.598837209302326,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fm_specent_precond;eeg_tright_lbeta_power_precond;eda_pkrate_precond;eeg_fl_specent_precond"
2025-12-19 03:25:31.897583,6,"workload_label",5,0.75,0.666666666666667,0.75,0.645348837209302,64,0.015625,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond"
2025-12-19 03:26:46.549618,7,"workload_label",20,1,1,1,0.552325581395349,2,0.0078125,20,"top20","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eda_pkrate_precond;eeg_tright_lbeta_power_precond;eeg_fm_specent_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_ta_ratio_precond;pupil_full_pupil_sd_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;eeg_tright_halpha_power_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_med_precond"
2025-12-19 03:27:49.351387,7,"workload_label",10,1,1,1,0.593023255813954,2,0.0078125,10,"top10","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eda_pkrate_precond;eeg_tright_lbeta_power_precond;eeg_fm_specent_precond;eeg_fl_specent_precond"
2025-12-19 03:28:43.871392,7,"workload_label",5,0.75,0.8,1,0.645348837209302,16,0.015625,5,"top5","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond"
