timestamp,fold,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2026-01-07 11:31:09.82788,"Fold1","workload_label",20,0.756756756756757,0.756756756756757,0.760233918128655,NA,1,0.05,20,"top20","eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_tb_ratio_precond;eeg_fr_lbeta_power_precond;eeg_fr_beta_power_precond;eeg_t_hbeta_power_precond;eeg_p_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_p_lbeta_power_precond;eeg_c_beta_power_precond;eeg_fr_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_pright_beta_power_precond;eeg_pright_lbeta_power_precond;eeg_p_hbeta_power_precond;eeg_tleft_beta_power_precond;eeg_pleft_beta_power_precond;eeg_pright_hbeta_power_precond;eeg_pleft_lbeta_power_precond;eeg_f_beta_power_precond"
2026-01-07 11:31:09.8406,"Fold1","workload_label",10,0.594594594594595,0.594594594594595,0.678362573099415,NA,1,0.1,10,"top10","eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_tb_ratio_precond;eeg_fr_lbeta_power_precond;eeg_fr_beta_power_precond;eeg_t_hbeta_power_precond;eeg_p_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_p_lbeta_power_precond;eeg_c_beta_power_precond"
2026-01-07 11:31:09.853295,"Fold1","workload_label",5,0.540540540540541,0.514285714285714,0.654970760233918,NA,1,0.2,5,"top5","eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_tb_ratio_precond;eeg_fr_lbeta_power_precond;eeg_fr_beta_power_precond"
2026-01-07 11:31:09.82846,"Fold2","workload_label",20,0.621621621621622,0.65,0.669590643274854,NA,1,0.05,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;eeg_t_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_fl_hbeta_power_precond;eeg_p_beta_power_precond;eeg_p_hbeta_power_precond;eeg_tleft_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_fr_lbeta_power_precond;hrv_rmssd_precond;eeg_c_beta_power_precond;eeg_tleft_hbeta_power_precond;eeg_pleft_hbeta_power_precond;eeg_pleft_beta_power_precond;eeg_pright_hbeta_power_precond;eeg_pright_beta_power_precond;eeg_c_hbeta_power_precond"
2026-01-07 11:31:09.841607,"Fold2","workload_label",10,0.702702702702703,0.731707317073171,0.631578947368421,NA,1,0.1,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;eeg_t_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_fl_hbeta_power_precond;eeg_p_beta_power_precond;eeg_p_hbeta_power_precond;eeg_tleft_beta_power_precond"
2026-01-07 11:31:09.854929,"Fold2","workload_label",5,0.594594594594595,0.615384615384615,0.60233918128655,NA,1,0.2,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;eeg_t_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_fm_hbeta_power_precond"
2026-01-07 11:31:09.827665,"Fold3","workload_label",20,0.578947368421053,0.578947368421053,0.554016620498615,NA,1,0.05,20,"top20","eeg_p_beta_power_precond;eeg_pleft_beta_power_precond;eeg_pleft_lbeta_power_precond;eeg_tleft_beta_power_precond;eeg_p_hbeta_power_precond;eeg_c_beta_power_precond;eeg_pleft_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_p_lbeta_power_precond;eeg_t_hbeta_power_precond;eeg_c_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_t_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_c_lbeta_power_precond;eeg_pright_lbeta_power_precond;eeg_pright_beta_power_precond;eeg_t_lbeta_power_precond"
2026-01-07 11:31:09.840235,"Fold3","workload_label",10,0.552631578947368,0.54054054054054,0.556786703601108,NA,1,0.1,10,"top10","eeg_p_beta_power_precond;eeg_pleft_beta_power_precond;eeg_pleft_lbeta_power_precond;eeg_tleft_beta_power_precond;eeg_p_hbeta_power_precond;eeg_c_beta_power_precond;eeg_pleft_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_tright_hbeta_power_precond"
2026-01-07 11:31:09.852625,"Fold3","workload_label",5,0.526315789473684,0.526315789473684,0.509695290858726,NA,1,0.2,5,"top5","eeg_p_beta_power_precond;eeg_pleft_beta_power_precond;eeg_pleft_lbeta_power_precond;eeg_tleft_beta_power_precond;eeg_p_hbeta_power_precond"
2026-01-07 11:31:09.828042,"Fold4","workload_label",20,0.631578947368421,0.666666666666667,0.720221606648199,NA,1,0.05,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fr_beta_power_precond;eeg_fr_hbeta_power_precond;eeg_pleft_specent_precond;eeg_t_hbeta_power_precond;eeg_pleft_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_pleft_beta_power_precond;eeg_p_beta_power_precond;eeg_c_beta_power_precond;eeg_p_hbeta_power_precond;eeg_pright_beta_power_precond;eeg_fr_lbeta_power_precond;eeg_tright_hbeta_power_precond;eeg_c_hbeta_power_precond;eeg_pright_hbeta_power_precond;eeg_p_specent_precond;eeg_pleft_lbeta_power_precond"
2026-01-07 11:31:09.840663,"Fold4","workload_label",10,0.605263157894737,0.634146341463415,0.692520775623269,NA,1,0.1,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fr_beta_power_precond;eeg_fr_hbeta_power_precond;eeg_pleft_specent_precond;eeg_t_hbeta_power_precond;eeg_pleft_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_pleft_beta_power_precond"
2026-01-07 11:31:09.852968,"Fold4","workload_label",5,0.605263157894737,0.634146341463415,0.673130193905817,NA,1,0.2,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fr_beta_power_precond;eeg_fr_hbeta_power_precond"
2026-01-07 11:31:09.828384,"Fold5","workload_label",20,0.552631578947368,0.484848484848485,0.656509695290859,NA,1,0.05,20,"top20","eeg_p_beta_power_precond;eeg_tb_ratio_precond;eeg_c_beta_power_precond;eeg_ab_ratio_precond;eeg_pleft_beta_power_precond;eeg_pleft_lbeta_power_precond;eeg_p_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_fm_hbeta_power_precond;eeg_t_hbeta_power_precond;eeg_fr_hbeta_power_precond;eeg_p_lbeta_power_precond;eeg_c_hbeta_power_precond;eeg_pright_beta_power_precond;eeg_pleft_hbeta_power_precond;eeg_pright_hbeta_power_precond;eeg_fr_lbeta_power_precond;eeg_pright_lbeta_power_precond;eeg_tleft_beta_power_precond"
2026-01-07 11:31:09.840793,"Fold5","workload_label",10,0.5,0.424242424242424,0.637119113573407,NA,1,0.1,10,"top10","eeg_p_beta_power_precond;eeg_tb_ratio_precond;eeg_c_beta_power_precond;eeg_ab_ratio_precond;eeg_pleft_beta_power_precond;eeg_pleft_lbeta_power_precond;eeg_p_hbeta_power_precond;eeg_fr_beta_power_precond;eeg_tright_hbeta_power_precond;eeg_fm_hbeta_power_precond"
2026-01-07 11:31:09.853177,"Fold5","workload_label",5,0.526315789473684,0.470588235294118,0.628808864265928,NA,1,0.2,5,"top5","eeg_p_beta_power_precond;eeg_tb_ratio_precond;eeg_c_beta_power_precond;eeg_ab_ratio_precond;eeg_pleft_beta_power_precond"
