timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2026-06-13 04:17:42.374091,1,"stress_label",20,0.25,0,0.75,0.478260869565217,256,0.015625,20,"top20","eeg_fm_lbeta_power_precond;eda_med_precond;hr_sd_precond;hr_med_precond;eeg_tleft_lbeta_power_precond;hrv_rmssd_precond;eeg_faa_precond;pupil_full_pupil_asymmetry_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_sd_precond;eeg_fl_specent_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_fl_theta_power_precond;eeg_tright_halpha_power_precond;eeg_fl_hbeta_power_precond;pupil_full_pupil_mean_precond;eeg_fl_halpha_power_precond;eda_peakarea_precond;eeg_ab_ratio_precond"
2026-06-13 04:18:48.62862,1,"stress_label",10,0.5,NA,0.25,0.570652173913043,64,0.1,10,"top10","eeg_fm_lbeta_power_precond;eda_med_precond;hr_sd_precond;hr_med_precond;eeg_tleft_lbeta_power_precond;hrv_rmssd_precond;eeg_faa_precond;pupil_full_pupil_asymmetry_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_sd_precond"
2026-06-13 04:19:43.779156,1,"stress_label",5,0,0,0,0.570652173913043,16,0.125,5,"top5","eeg_fm_lbeta_power_precond;eda_med_precond;hr_sd_precond;hr_med_precond;eeg_tleft_lbeta_power_precond"
2026-06-13 04:20:57.303793,2,"stress_label",20,0,0,0,0.565217391304348,64,0.0625,20,"top20","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;pupil_full_pupil_sd_precond;eda_pkrate_precond;eeg_tleft_lalpha_power_precond;eda_peakarea_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;pupil_full_pupil_mean_precond;eeg_fl_hbeta_power_precond;eda_sd_precond;eeg_tb_ratio_precond;eeg_tright_lbeta_power_precond;eeg_fl_halpha_power_precond"
2026-06-13 04:21:57.281616,2,"stress_label",10,0.25,0.4,0,0.614130434782609,8,0.0078125,10,"top10","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;pupil_full_pupil_sd_precond;eda_pkrate_precond;eeg_tleft_lalpha_power_precond"
2026-06-13 04:22:55.22772,2,"stress_label",5,0.25,0.4,0,0.614130434782609,16,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2026-06-13 04:24:10.022519,3,"stress_label",20,0.25,0,0.5,0.592391304347826,16,0.0078125,20,"top20","eeg_fm_lbeta_power_precond;hr_sd_precond;eeg_fm_specent_precond;hrv_rmssd_precond;eda_med_precond;hr_med_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eda_pkrate_precond;pupil_full_pupil_asymmetry_precond;eeg_tleft_lalpha_power_precond;eeg_fl_specent_precond;eeg_ab_ratio_precond;pupil_full_pupil_sd_precond;eeg_tb_ratio_precond;eda_peakarea_precond;eeg_fl_hbeta_power_precond;eeg_fl_halpha_power_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond"
2026-06-13 04:25:09.503563,3,"stress_label",10,0,0,0,0.554347826086957,8,0.0078125,10,"top10","eeg_fm_lbeta_power_precond;hr_sd_precond;eeg_fm_specent_precond;hrv_rmssd_precond;eda_med_precond;hr_med_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eda_pkrate_precond;pupil_full_pupil_asymmetry_precond"
2026-06-13 04:26:11.227419,3,"stress_label",5,0,0,0,0.614130434782609,2,0.0078125,5,"top5","eeg_fm_lbeta_power_precond;hr_sd_precond;eeg_fm_specent_precond;hrv_rmssd_precond;eda_med_precond"
2026-06-13 04:27:42.215678,4,"stress_label",20,0,0,0,0.576086956521739,4,0.03,20,"top20","hr_sd_precond;eeg_fm_lbeta_power_precond;hrv_rmssd_precond;eda_med_precond;eeg_fm_specent_precond;hr_med_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;pupil_full_pupil_asymmetry_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_sd_precond;eda_pkrate_precond;eeg_ab_ratio_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;eeg_fl_hbeta_power_precond;eeg_fl_theta_power_precond;eeg_tright_halpha_power_precond;eeg_c_halpha_power_precond;eeg_fl_specent_precond"
