"timestamp","test_pid","target","k","final_acc","final_f1","final_auc","inner_best_acc","cost","gamma","feature_n","feature_set","features_used"
2025-11-26 12:58:38.698699,1,"stress_label",30,0.75,0.666666666666667,0.5,0.576923076923077,2,0.0625,30,"top30","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_pright_halpha_mean_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;pupil_asymmetry_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;eeg_c_sampent_full_change_precond;eeg_pright_beta_mean_full_change_precond;eeg_fm_sampent_full_change_precond;eeg_tleft_lbeta_mean_full_change_precond;eeg_pright_specent_full_change_precond;gsr_skin_conductance_eda_peakarea_nk_full_change_precond;eeg_tb_ratio_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;eeg_ab_ratio_full_change_precond;eeg_tleft_specent_full_change_precond;eeg_tright_specent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond"
2025-11-26 12:59:45.695651,1,"stress_label",20,1,1,1,0.615384615384615,4,0.03125,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_pright_halpha_mean_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;pupil_asymmetry_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;eeg_c_sampent_full_change_precond;eeg_pright_beta_mean_full_change_precond"
2025-11-26 13:00:42.27439,1,"stress_label",10,0.5,0.5,0.75,0.634615384615385,128,0.03125,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond"
2025-11-26 13:01:33.406675,1,"stress_label",5,0.25,0,0.25,0.653846153846154,4,0.0078125,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond"
2025-11-26 13:02:16.982527,1,"stress_label",2,0.75,0.666666666666667,0.75,0.634615384615385,16,0.03125,2,"top2","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond"
2025-11-26 13:03:33.829036,2,"stress_label",30,1,1,1,0.583333333333333,2,0.1,30,"top30","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_c_sampent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;eeg_fl_specent_full_change_precond;eeg_tleft_theta_mean_full_change_precond;eeg_ab_ratio_full_change_precond;eeg_tleft_lbeta_mean_full_change_precond;eeg_pright_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_tleft_specent_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;eeg_fm_lbeta_mean_full_change_precond"
2025-11-26 13:04:39.280823,2,"stress_label",20,1,1,1,0.58974358974359,32,0.0078125,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_c_sampent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond"
2025-11-26 13:05:34.643549,2,"stress_label",10,0.5,0.5,0.75,0.647435897435897,8,0.0078125,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond"
2025-11-26 13:06:24.942438,2,"stress_label",5,0.5,0.5,0.5,0.67948717948718,128,0.015625,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond"
2025-11-26 13:07:07.532659,2,"stress_label",2,0.5,0.5,0.75,0.596153846153846,256,0.0625,2,"top2","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond"
