timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2026-06-13 04:17:37.415233,1,"workload_label",20,0.5,0.5,0.5,0.646739130434783,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lbeta_power_precond;eda_sd_precond;eeg_fl_specent_precond;hr_med_precond;eda_pkrate_precond;eeg_c_halpha_power_precond;eeg_fm_lbeta_power_precond;pupil_full_pupil_sd_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond;hr_sd_precond;pupil_full_pupil_mean_precond;eeg_tright_halpha_power_precond;eda_med_precond;eeg_fl_halpha_power_precond"
2026-06-13 04:18:41.756152,1,"workload_label",10,0.5,0.5,0.5,0.614130434782609,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lbeta_power_precond;eda_sd_precond;eeg_fl_specent_precond;hr_med_precond;eda_pkrate_precond;eeg_c_halpha_power_precond"
2026-06-13 04:19:35.101043,1,"workload_label",5,0.25,0.4,0.5,0.635869565217391,64,0.0078125,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lbeta_power_precond"
2026-06-13 04:20:46.447685,2,"workload_label",20,1,1,1,0.576086956521739,2,0.0078125,20,"top20","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;hr_med_precond;eeg_fl_specent_precond;eda_pkrate_precond;eeg_fm_specent_precond;eeg_fl_theta_power_precond;eeg_ta_ratio_precond;pupil_full_pupil_sd_precond;hr_sd_precond;eeg_tleft_lalpha_power_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eeg_fl_halpha_power_precond;eda_med_precond;eeg_tright_halpha_power_precond"
2026-06-13 04:21:45.109636,2,"workload_label",10,1,1,1,0.597826086956522,2,0.0078125,10,"top10","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond;hr_med_precond;eeg_fl_specent_precond;eda_pkrate_precond;eeg_fm_specent_precond"
2026-06-13 04:22:40.005744,2,"workload_label",5,0.5,0.5,0.75,0.597826086956522,32,0.03125,5,"top5","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_fl_hbeta_power_precond"
2026-06-13 04:23:52.81933,3,"workload_label",20,0.5,0.5,0.5,0.619565217391304,2,0.0078125,20,"top20","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eeg_tleft_lbeta_power_precond;eeg_fl_hbeta_power_precond;eda_sd_precond;hr_med_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;eeg_ta_ratio_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eda_peakarea_precond;hr_sd_precond;eeg_faa_precond;eeg_fl_halpha_power_precond;pupil_full_pupil_asymmetry_precond"
2026-06-13 04:24:50.11386,3,"workload_label",10,0.25,0.4,0.5,0.630434782608696,2,0.0078125,10,"top10","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eeg_tleft_lbeta_power_precond;eeg_fl_hbeta_power_precond;eda_sd_precond;hr_med_precond;eda_pkrate_precond;eeg_fl_specent_precond;eeg_fm_lbeta_power_precond"
2026-06-13 04:25:43.210607,3,"workload_label",5,0.75,0.8,0.5,0.641304347826087,2,0.125,5,"top5","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eeg_tleft_lbeta_power_precond;eeg_fl_hbeta_power_precond"
2026-06-13 04:27:10.363955,4,"workload_label",20,0.25,0,0.25,0.652173913043478,32,0.0078125,20,"top20","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_fl_specent_precond;hr_med_precond;eda_sd_precond;eda_pkrate_precond;eeg_fm_specent_precond;eeg_c_halpha_power_precond;eeg_fm_lbeta_power_precond;pupil_full_pupil_sd_precond;eeg_fl_theta_power_precond;eeg_ta_ratio_precond;eeg_tleft_lalpha_power_precond;eda_peakarea_precond;hr_sd_precond;eeg_tright_halpha_power_precond;eda_med_precond"
