"target","kernel","cost","gamma","feature_set","feature_n","accuracy"
"workload_label","radial",8,0.015625,"top30",30,0.457142857142857
"workload_label","radial",2,0.125,"top30",30,0.4
"workload_label","radial",0.5,0.0078125,"top20",20,0.509523809523809
"workload_label","radial",0.125,0.0625,"top20",20,0.485714285714286
"workload_label","radial",16,0.25,"top20",20,0.578571428571429
"workload_label","radial",4,0.015625,"top15",15,0.507142857142857
"workload_label","radial",1,0.125,"top15",15,0.504761904761905
"workload_label","radial",0.25,0.0078125,"top10",10,0.495238095238095
"workload_label","radial",32,0.03125,"top10",10,0.528571428571429
"workload_label","radial",8,0.25,"top10",10,0.476190476190476
"workload_label","radial",2,0.015625,"top5",5,0.511904761904762
"workload_label","radial",0.5,0.125,"top5",5,0.526190476190476
"workload_label","radial",0.125,0.0078125,"top3",3,0.495238095238095
"workload_label","radial",16,0.03125,"top3",3,0.516666666666667
"workload_label","radial",4,0.25,"top3",3,0.504761904761905
"workload_label","radial",1,0.015625,"top1",1,0.495238095238095
"workload_label","radial",0.25,0.125,"top1",1,0.495238095238095
