timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 13:00:18.93828,1,"stress_label",5,1,1,1,0.529069767441861,16,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:24.770529,3,"stress_label",5,0.75,0.666666666666667,1,0.563953488372093,16,0.03,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:30.671877,4,"stress_label",5,0.25,0.4,0,0.558139534883721,2,0.0625,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:36.337086,5,"stress_label",5,0.25,0.4,0,0.575581395348837,64,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;pupil_full_pupil_asymmetry_precond;hrv_rmssd_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:41.82244,6,"stress_label",5,0.25,0.4,0.25,0.546511627906977,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:47.365784,7,"stress_label",5,1,1,1,0.546511627906977,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:52.986774,9,"stress_label",5,0.5,0.5,0.5,0.593023255813954,128,0.06,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:00:58.584292,10,"stress_label",5,0.75,0.666666666666667,0.75,0.546511627906977,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 13:01:04.244852,11,"stress_label",5,0.75,0.8,0.5,0.546511627906977,256,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 13:01:09.850793,12,"stress_label",5,1,1,1,0.517441860465116,8,0.015625,5,"top5","hr_med_precond;hr_sd_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:15.446386,13,"stress_label",5,0.75,0.666666666666667,0.75,0.511627906976744,2,0.03125,5,"top5","hr_med_precond;hr_sd_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:21.140842,15,"stress_label",5,0,0,0,0.558139534883721,256,0.0625,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:26.72309,16,"stress_label",5,0.75,0.8,0.5,0.534883720930233,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 13:01:32.337495,17,"stress_label",5,0,0,0,0.569767441860465,4,0.03125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:37.930375,18,"stress_label",5,0.5,0.5,0.75,0.558139534883721,16,0.125,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:43.487911,19,"stress_label",5,0,0,0,0.587209302325581,8,0.015625,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:49.091904,20,"stress_label",5,0.5,0.5,0.5,0.534883720930233,2,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
2025-12-19 13:01:54.724143,21,"stress_label",5,0.25,0,0.5,0.575581395348837,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;pupil_full_pupil_asymmetry_precond;hrv_rmssd_precond;pupil_full_pupil_sd_precond"
2025-12-19 13:02:00.260515,22,"stress_label",5,0.25,0.4,0.25,0.581395348837209,32,0.0625,5,"top5","hr_sd_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond;pupil_full_pupil_mean_precond"
