timestamp,test_pid,target,k,cost,gamma,inner_acc,inner_auc,inner_f1,feature_n,feature_set,features_used
2025-12-19 15:25:35.186865,1,"stress_label",3,2,0.0078125,0.563953488372093,0.465116279069767,0.549612403100775,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.249252,1,"stress_label",3,4,0.0078125,0.558139534883721,0.587209302325581,0.547286821705426,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.230525,1,"stress_label",3,8,0.0078125,0.552325581395349,0.558139534883721,0.544961240310078,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.189532,1,"stress_label",3,16,0.0078125,0.563953488372093,0.546511627906977,0.570542635658915,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.292212,1,"stress_label",3,32,0.0078125,0.575581395348837,0.511627906976744,0.602325581395349,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.246793,1,"stress_label",3,64,0.0078125,0.598837209302326,0.546511627906977,0.623255813953488,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.212227,1,"stress_label",3,128,0.0078125,0.581395348837209,0.540697674418605,0.613953488372093,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.175062,1,"stress_label",3,256,0.0078125,0.569767441860465,0.558139534883721,0.604651162790698,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.192496,1,"stress_label",3,2,0.015625,0.552325581395349,0.581395348837209,0.544961240310078,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.316421,1,"stress_label",3,4,0.015625,0.569767441860465,0.563953488372093,0.573643410852713,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.24887,1,"stress_label",3,8,0.015625,0.581395348837209,0.563953488372093,0.602325581395349,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.28931,1,"stress_label",3,16,0.015625,0.598837209302326,0.546511627906977,0.623255813953488,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.204855,1,"stress_label",3,32,0.015625,0.581395348837209,0.546511627906977,0.613953488372093,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:35.274102,1,"stress_label",3,64,0.015625,0.569767441860465,0.552325581395349,0.604651162790698,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
2025-12-19 15:25:36.351415,1,"stress_label",3,128,0.015625,0.552325581395349,0.546511627906977,0.588372093023256,3,"top3","eda_med_precond;hr_sd_precond;hr_med_precond"
