timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 15:38:27.170114,1,"stress_label",3,0.25,0,0,0.558139534883721,256,0.0078125,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:38:33.13586,3,"stress_label",3,0.25,0.4,0.5,0.622093023255814,256,0.125,3,"top3","eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:38:39.452598,4,"stress_label",3,0.5,0.5,0.75,0.517441860465116,2,0.06,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:38:45.233075,5,"stress_label",3,0.75,0.666666666666667,0.25,0.47093023255814,256,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:38:50.739474,6,"stress_label",3,1,1,1,0.552325581395349,128,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:38:56.451918,7,"stress_label",3,0.25,0,0.25,0.459302325581395,128,0.015625,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:39:02.308187,9,"stress_label",3,0.5,0.5,0.75,0.494186046511628,4,0.03125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:39:08.076655,10,"stress_label",3,0.5,NA,0.25,0.465116279069767,16,0.125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:39:13.755839,11,"stress_label",3,0.5,0.5,0.5,0.412790697674419,4,0.015625,3,"top3","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond"
2025-12-19 15:39:19.256792,12,"stress_label",3,0.5,0.5,0.5,0.540697674418605,128,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:39:24.883296,13,"stress_label",3,0.5,0.5,0.5,0.558139534883721,32,0.1,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:39:30.397195,15,"stress_label",3,0,0,0,0.581395348837209,32,0.125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:39:35.904403,16,"stress_label",3,0.5,0.5,0.5,0.563953488372093,128,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:39:41.421266,17,"stress_label",3,0.75,0.666666666666667,0,0.552325581395349,16,0.125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:39:47.02208,18,"stress_label",3,0.25,0.4,0,0.61046511627907,256,0.125,3,"top3","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond"
2025-12-19 15:39:52.795523,19,"stress_label",3,0.25,0,0.75,0.546511627906977,128,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:39:58.314853,20,"stress_label",3,1,1,1,0.546511627906977,32,0.06,3,"top3","eeg_fm_specent_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:40:04.135052,21,"stress_label",3,1,1,1,0.593023255813954,256,0.03,3,"top3","eeg_fm_specent_precond;eeg_fl_theta_power_precond;eeg_faa_precond"
2025-12-19 15:40:09.942774,22,"stress_label",3,0.75,0.666666666666667,0.5,0.563953488372093,8,0.125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:40:15.662894,23,"stress_label",3,0.5,0.5,0.5,0.616279069767442,32,0.0625,3,"top3","eeg_fm_specent_precond;eeg_faa_precond;eeg_fl_theta_power_precond"
2025-12-19 15:40:21.629712,24,"stress_label",3,0.25,0,0.5,0.5,16,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:40:27.272787,25,"stress_label",3,0.25,0,0.75,0.418604651162791,4,0.0078125,3,"top3","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond"
2025-12-19 15:40:32.931848,26,"stress_label",3,0.75,0.666666666666667,0.5,0.488372093023256,8,0.0078125,3,"top3","eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:40:38.688178,27,"stress_label",3,0.5,NA,1,0.5,128,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:40:44.214907,28,"stress_label",3,0,0,0,0.587209302325581,256,0.03125,3,"top3","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond"
2025-12-19 15:40:49.760853,29,"stress_label",3,0.25,0,0.25,0.587209302325581,256,0.03125,3,"top3","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond"
2025-12-19 15:40:55.388437,30,"stress_label",3,0.75,0.666666666666667,1,0.552325581395349,256,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:41:00.784387,31,"stress_label",3,0,0,1,0.534883720930233,4,0.0078125,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond"
2025-12-19 15:41:06.546929,32,"stress_label",3,1,1,0,0.476744186046512,4,0.0078125,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:41:12.061748,33,"stress_label",3,0.25,0,0.25,0.604651162790698,64,0.0625,3,"top3","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond"
2025-12-19 15:41:17.526798,34,"stress_label",3,1,1,0,0.5,64,0.03,3,"top3","eeg_fm_specent_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:41:22.957458,35,"stress_label",3,0.75,0.666666666666667,1,0.575581395348837,128,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_faa_precond"
2025-12-19 15:41:28.578727,36,"stress_label",3,0.25,0,0.25,0.581395348837209,32,0.1,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:41:34.257428,37,"stress_label",3,0.25,0,1,0.546511627906977,8,0.015625,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:41:39.909156,38,"stress_label",3,0.25,0,0.25,0.581395348837209,64,0.125,3,"top3","eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
2025-12-19 15:41:45.945309,39,"stress_label",3,0.75,0.666666666666667,0,0.447674418604651,8,0.1,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:41:51.548368,40,"stress_label",3,0.5,0.5,0.5,0.587209302325581,64,0.06,3,"top3","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond"
2025-12-19 15:41:57.718905,41,"stress_label",3,0.75,0.666666666666667,0,0.482558139534884,8,0.1,3,"top3","eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_fm_beta_power_precond"
2025-12-19 15:42:03.123166,42,"stress_label",3,0.75,0.666666666666667,0.5,0.627906976744186,128,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_fr_hbeta_power_precond"
2025-12-19 15:42:08.597543,43,"stress_label",3,0.25,0,0.25,0.575581395348837,128,0.03125,3,"top3","eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond"
2025-12-19 15:42:14.064833,44,"stress_label",3,0.5,0.5,0.25,0.575581395348837,256,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:42:19.449299,45,"stress_label",3,0.25,0.4,0.5,0.587209302325581,64,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond"
2025-12-19 15:42:25.374375,47,"stress_label",3,0.25,0,0.5,0.459302325581395,64,0.03,3,"top3","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond"
2025-12-19 15:42:30.892817,48,"stress_label",3,0.25,0,0,0.569767441860465,128,0.0625,3,"top3","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond"
