timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 15:56:06.244561,1,"workload_label",7,0.5,0.5,0.5,0.61046511627907,2,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;eeg_tleft_lbeta_power_precond;hr_med_precond;eeg_fl_hbeta_power_precond"
2025-12-19 15:56:12.430902,3,"workload_label",7,0.25,0.4,0.5,0.627906976744186,256,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_tright_lbeta_power_precond;eeg_fl_hbeta_power_precond"
2025-12-19 15:56:18.733263,4,"workload_label",7,0.5,0.5,0.25,0.627906976744186,2,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;hr_med_precond;eda_sd_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond"
2025-12-19 15:56:25.216436,5,"workload_label",7,0.75,0.8,0.5,0.668604651162791,64,0.03125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_specent_precond;eeg_fm_specent_precond"
2025-12-19 15:56:31.670652,6,"workload_label",7,0.75,0.666666666666667,0.75,0.616279069767442,128,0.03,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fm_specent_precond"
2025-12-19 15:56:38.005669,7,"workload_label",7,0.75,0.8,0.5,0.604651162790698,32,0.015625,7,"top7","eeg_ab_ratio_precond;eeg_tb_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eda_pkrate_precond"
2025-12-19 15:56:44.553586,9,"workload_label",7,0.5,0.5,0.75,0.627906976744186,2,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond"
2025-12-19 15:56:50.712113,10,"workload_label",7,0.25,0,0.5,0.616279069767442,2,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond"
2025-12-19 15:56:57.016223,11,"workload_label",7,0.75,0.8,0.75,0.616279069767442,8,0.0078125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_tright_lbeta_power_precond"
2025-12-19 15:57:03.411156,12,"workload_label",7,1,1,1,0.598837209302326,128,0.03125,7,"top7","eeg_tb_ratio_precond;eeg_ab_ratio_precond;hrv_rmssd_precond;eda_sd_precond;hr_med_precond;eeg_fl_hbeta_power_precond;eeg_fl_specent_precond"
