timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 16:05:53.662664,1,"stress_label",7,0,0,0,0.569767441860465,2,0.125,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond;eeg_fl_beta_power_precond"
2025-12-19 16:06:00.737878,3,"stress_label",7,0.5,NA,0.5,0.453488372093023,4,0.03,7,"top7","eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fm_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tright_alpha_power_precond"
2025-12-19 16:06:07.652954,4,"stress_label",7,0.25,0.4,0.5,0.552325581395349,256,0.03125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:06:14.112113,5,"stress_label",7,0.75,0.666666666666667,0.25,0.552325581395349,16,0.03,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_fr_theta_power_precond;eeg_faa_precond;eeg_ta_ratio_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:06:20.66397,6,"stress_label",7,0.75,0.666666666666667,0,0.418604651162791,32,0.0078125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:06:27.302935,7,"stress_label",7,0.25,0,0.5,0.447674418604651,16,0.03125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond;eeg_tb_ratio_precond"
2025-12-19 16:06:33.94017,9,"stress_label",7,0,0,0,0.575581395348837,64,0.03125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_pleft_hbeta_power_precond"
2025-12-19 16:06:40.65848,10,"stress_label",7,0.5,0.5,0.75,0.465116279069767,2,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ab_ratio_precond"
2025-12-19 16:06:47.211226,11,"stress_label",7,0.75,0.666666666666667,1,0.436046511627907,32,0.015625,7,"top7","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:06:53.718346,12,"stress_label",7,0.25,0,0.25,0.488372093023256,128,0.1,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_f_hbeta_power_precond;eeg_ab_ratio_precond"
2025-12-19 16:07:00.421036,13,"stress_label",7,0.75,0.8,0.25,0.546511627906977,64,0.1,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_pright_specent_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:07:07.005897,15,"stress_label",7,0,0,0,0.598837209302326,32,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_pleft_hbeta_power_precond"
2025-12-19 16:07:13.533728,16,"stress_label",7,0.5,0.5,0.5,0.441860465116279,128,0.125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_pleft_hbeta_power_precond"
2025-12-19 16:07:20.114476,17,"stress_label",7,0.5,0.5,0.5,0.476744186046512,2,0.015625,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_f_hbeta_power_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:07:26.614492,18,"stress_label",7,0.25,0,0.5,0.436046511627907,8,0.0078125,7,"top7","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond"
2025-12-19 16:07:33.341301,19,"stress_label",7,0.75,0.666666666666667,0.25,0.488372093023256,64,0.03,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:07:39.928695,20,"stress_label",7,0.75,0.8,0.5,0.453488372093023,2,0.015625,7,"top7","eeg_fm_specent_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tb_ratio_precond"
2025-12-19 16:07:46.807247,21,"stress_label",7,1,1,0,0.38953488372093,2,0.03125,7,"top7","eeg_fm_specent_precond;eeg_fl_theta_power_precond;eeg_faa_precond;eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_fl_specent_precond"
