timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-11-26 17:44:50.234909,1,"stress_label",20,1,1,1,0.602564102564103,8,0.015625,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_pright_halpha_mean_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;pupil_asymmetry_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;eeg_c_sampent_full_change_precond;eeg_pright_beta_mean_full_change_precond"
2025-11-26 17:45:49.617198,1,"stress_label",10,0.5,0.5,0.75,0.634615384615385,128,0.03125,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond"
2025-11-26 17:46:44.333632,1,"stress_label",5,0.5,0.5,0.5,0.615384615384615,128,0.0078125,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_halpha_mean_full_change_precond"
2025-11-26 17:47:56.952038,2,"stress_label",20,0.75,0.666666666666667,1,0.551282051282051,2,0.0078125,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_c_sampent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond"
2025-11-26 17:48:59.084038,2,"stress_label",10,0.5,0.5,0.75,0.641025641025641,4,0.015625,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond"
2025-11-26 17:49:53.631995,2,"stress_label",5,0.75,0.666666666666667,0.5,0.621794871794872,2,0.0078125,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond"
2025-11-26 17:51:06.460542,3,"stress_label",20,0.5,0.5,0.25,0.551282051282051,2,0.0078125,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_t_sampent_full_change_precond;hrv_rmssd_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_fr_sampent_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_fm_sampent_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_sampent_full_change_precond;eeg_ab_ratio_full_change_precond;eeg_pright_halpha_mean_full_change_precond;eeg_fm_theta_mean_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;eeg_c_specent_full_change_precond"
2025-11-26 17:52:06.600416,3,"stress_label",10,0.5,0.5,0.5,0.615384615384615,16,0.015625,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_t_sampent_full_change_precond;hrv_rmssd_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_fr_sampent_full_change_precond;pupil_dilation_sd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond"
2025-11-26 17:53:02.140735,3,"stress_label",5,0.5,0.5,0.5,0.615384615384615,2,0.03125,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_t_sampent_full_change_precond"
2025-11-26 17:54:11.017503,4,"stress_label",20,0,0,0,0.602564102564103,2,0.015625,20,"top20","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_pright_lbeta_mean_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_tright_halpha_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;eeg_c_specent_full_change_precond;eeg_c_sampent_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_pright_halpha_mean_full_change_precond"
2025-11-26 17:55:10.51454,4,"stress_label",10,0.25,0,0.25,0.615384615384615,4,0.015625,10,"top10","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_sampent_full_change_precond;eeg_c_theta_mean_full_change_precond;hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_pright_lbeta_mean_full_change_precond"
2025-11-26 17:56:05.201827,4,"stress_label",5,0.25,0.4,0.25,0.576923076923077,128,0.0078125,5,"top5","eeg_tleft_sampent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_t_sampent_full_change_precond"
