pid,event_label,window_idx,window_start,window_end,FrontalLeft_Delta,FrontalLeft_Theta,FrontalLeft_LowAlpha,FrontalLeft_HighAlpha,FrontalLeft_LowBeta,FrontalLeft_HighBeta,FrontalLeft_Alpha,FrontalLeft_Beta,FrontalRight_Delta,FrontalRight_Theta,FrontalRight_LowAlpha,FrontalRight_HighAlpha,FrontalRight_LowBeta,FrontalRight_HighBeta,FrontalRight_Alpha,FrontalRight_Beta,OverallFrontal_Delta,OverallFrontal_Theta,OverallFrontal_LowAlpha,OverallFrontal_HighAlpha,OverallFrontal_LowBeta,OverallFrontal_HighBeta,OverallFrontal_Alpha,OverallFrontal_Beta,TemporalLeft_Delta,TemporalLeft_Theta,TemporalLeft_LowAlpha,TemporalLeft_HighAlpha,TemporalLeft_LowBeta,TemporalLeft_HighBeta,TemporalLeft_Alpha,TemporalLeft_Beta,TemporalRight_Delta,TemporalRight_Theta,TemporalRight_LowAlpha,TemporalRight_HighAlpha,TemporalRight_LowBeta,TemporalRight_HighBeta,TemporalRight_Alpha,TemporalRight_Beta,Temporal_Delta,Temporal_Theta,Temporal_LowAlpha,Temporal_HighAlpha,Temporal_LowBeta,Temporal_HighBeta,Temporal_Alpha,Temporal_Beta,Central_Delta,Central_Theta,Central_LowAlpha,Central_HighAlpha,Central_LowBeta,Central_HighBeta,Central_Alpha,Central_Beta,ParietalLeft_Delta,ParietalLeft_Theta,ParietalLeft_LowAlpha,ParietalLeft_HighAlpha,ParietalLeft_LowBeta,ParietalLeft_HighBeta,ParietalLeft_Alpha,ParietalLeft_Beta,ParietalRight_Delta,ParietalRight_Theta,ParietalRight_LowAlpha,ParietalRight_HighAlpha,ParietalRight_LowBeta,ParietalRight_HighBeta,ParietalRight_Alpha,ParietalRight_Beta,Parietal_Delta,Parietal_Theta,Parietal_LowAlpha,Parietal_HighAlpha,Parietal_LowBeta,Parietal_HighBeta,Parietal_Alpha,Parietal_Beta,Occipital_Delta,Occipital_Theta,Occipital_LowAlpha,Occipital_HighAlpha,Occipital_LowBeta,Occipital_HighBeta,Occipital_Alpha,Occipital_Beta,FrontalMidline_Delta,FrontalMidline_Theta,FrontalMidline_LowAlpha,FrontalMidline_HighAlpha,FrontalMidline_LowBeta,FrontalMidline_HighBeta,FrontalMidline_Alpha,FrontalMidline_Beta
26,Forest1,1,742.32,752.32,-4.1709,-5.1872,-6.0817,-5.9008,-5.6421,-5.6214,-5.6136,-5.3151,-4.2984,-5.3859,-6.1282,-5.9341,-5.3585,-5.2641,-5.6504,-4.9878,-4.2719,-5.3157,-6.1432,-5.9549,-5.5173,-5.4482,-5.6701,-5.1618,-5.3001,-6.1547,-6.7773,-6.56,-6.2532,-6.3878,-6.2887,-6.0006,-5.098,-6.0199,-6.7316,-6.3778,-6.1424,-6.227,-6.1652,-5.8639,-5.1822,-6.0786,-6.7526,-6.4547,-6.1914,-6.2958,-6.2194,-5.9233,-5.0721,-6.0362,-6.881,-6.5753,-6.2851,-6.315,-6.3399,-5.9823,-4.5703,-5.5361,-6.3726,-6.1722,-5.819,-5.7225,-5.8976,-5.4542,-4.5729,-5.5626,-6.3345,-6.1017,-5.6423,-5.5404,-5.8447,-5.2666,-4.6217,-5.5976,-6.4014,-6.177,-5.7705,-5.6749,-5.9148,-5.4014,-5.053,-5.947,-6.6699,-6.4386,-5.9006,-5.7871,-6.1822,-5.5184,-5.5399,-6.3673,-7.0395,-6.7731,-6.493,-6.5974,-6.536,-6.2249
26,Forest1,2,747.32,757.32,-4.9424,-5.7677,-6.5692,-6.2644,-5.7484,-5.7812,-6.001,-5.4488,-4.7543,-5.6794,-6.2387,-6.1608,-5.4042,-5.3427,-5.8167,-5.0522,-4.8785,-5.7598,-6.4116,-6.2451,-5.5826,-5.5498,-5.9362,-5.2471,-5.6617,-6.3078,-6.9117,-6.652,-6.3144,-6.4017,-6.4015,-6.0422,-5.6174,-6.2924,-6.891,-6.5586,-6.1741,-6.2747,-6.3223,-5.9048,-5.6378,-6.2996,-6.9007,-6.6003,-6.2349,-6.3303,-6.358,-5.9645,-5.6608,-6.3335,-7.0327,-6.7224,-6.3474,-6.3588,-6.4859,-6.0356,-5.1866,-5.9653,-6.7195,-6.4238,-5.8677,-5.836,-6.1686,-5.5363,-5.1076,-5.9544,-6.5776,-6.4415,-5.7189,-5.6367,-6.1289,-5.3538,-5.1952,-5.9999,-6.6844,-6.4635,-5.8351,-5.7763,-6.1848,-5.4854,-5.5282,-6.2486,-6.9684,-6.6499,-5.9264,-5.9435,-6.4239,-5.605,-5.9112,-6.6249,-7.2693,-6.939,-6.5431,-6.6734,-6.7077,-6.2913
26,Forest1,3,752.32,762.32,-5.1433,-5.8718,-6.6883,-6.3389,-5.7644,-5.7747,-6.1032,-5.4525,-5.0673,-5.8371,-6.6933,-6.2224,-5.573,-5.4774,-6.0178,-5.207,-5.1449,-5.8905,-6.7229,-6.312,-5.6963,-5.6418,-6.093,-5.3521,-5.9973,-6.2864,-7.0159,-6.6428,-6.3246,-6.4579,-6.4424,-6.0698,-5.8239,-6.3267,-6.9601,-6.6046,-6.1617,-6.3393,-6.3798,-5.9308,-5.8975,-6.3072,-6.9856,-6.6223,-6.2313,-6.3914,-6.4084,-5.9912,-5.8881,-6.3771,-7.2155,-6.7783,-6.3443,-6.4127,-6.584,-6.0626,-5.5063,-6.1133,-6.9329,-6.5422,-5.8621,-5.8608,-6.3226,-5.5446,-5.5082,-6.1518,-6.916,-6.5593,-5.8177,-5.7586,-6.3246,-5.4724,-5.5527,-6.1665,-6.963,-6.5772,-5.8849,-5.8581,-6.3559,-5.5556,-6.0298,-6.3214,-7.0921,-6.72,-5.9203,-5.976,-6.5165,-5.6264,-6.31,-6.6255,-7.2684,-6.9863,-6.5332,-6.7194,-6.741,-6.3035
26,Forest1,4,757.32,767.32,-5.3668,-5.9253,-6.7561,-6.4909,-5.7657,-5.6893,-6.24,-5.4063,-5.2055,-5.9809,-6.7117,-6.314,-5.598,-5.4807,-6.0985,-5.2168,-5.3199,-5.9874,-6.768,-6.4268,-5.7107,-5.6129,-6.1978,-5.3402,-6.0976,-6.4131,-7.1649,-6.689,-6.2833,-6.4602,-6.5192,-6.0462,-6.042,-6.3482,-7.1727,-6.7046,-6.0697,-6.3415,-6.5362,-5.8742,-6.0674,-6.3777,-7.169,-6.6972,-6.158,-6.3937,-6.5281,-5.9473,-6.0793,-6.485,-7.3267,-6.8764,-6.2843,-6.4092,-6.6886,-6.0286,-5.6547,-6.1693,-7.0102,-6.6564,-5.9301,-5.8466,-6.4365,-5.566,-5.6523,-6.2729,-7.0352,-6.616,-5.8484,-5.7371,-6.4197,-5.4733,-5.6994,-6.2521,-7.0638,-6.658,-5.9271,-5.8396,-6.4575,-5.5635,-6.1548,-6.3962,-7.1976,-6.7438,-5.9275,-5.8069,-6.5689,-5.5429,-6.4684,-6.6577,-7.4174,-7.0176,-6.4783,-6.6484,-6.8284,-6.242
26,Forest1,5,762.32,772.32,-5.2046,-5.8655,-6.5026,-6.3861,-5.7679,-5.7428,-6.0805,-5.4384,-5.0209,-5.7681,-6.5664,-6.2679,-5.5325,-5.448,-6.0248,-5.1711,-5.1414,-5.8489,-6.5706,-6.3568,-5.6705,-5.6115,-6.0871,-5.323,-5.893,-6.3172,-7.0521,-6.6995,-6.227,-6.5188,-6.49,-6.0357,-5.8682,-6.2992,-7.1213,-6.6708,-5.9732,-6.3524,-6.4883,-5.8097,-5.8797,-6.3076,-7.0871,-6.6841,-6.0754,-6.4234,-6.4891,-5.9024,-5.8839,-6.384,-7.1392,-6.8033,-6.2217,-6.4208,-6.588,-5.9974,-5.5036,-6.078,-6.7858,-6.569,-5.8924,-5.867,-6.304,-5.5645,-5.4774,-6.1087,-6.9272,-6.5624,-5.7484,-5.7267,-6.3456,-5.4215,-5.5352,-6.1275,-6.8924,-6.5898,-5.8557,-5.842,-6.3561,-5.5334,-6.0095,-6.3286,-7.1294,-6.705,-5.8679,-5.8514,-6.512,-5.5394,-5.9972,-6.5034,-7.3567,-6.9654,-6.3848,-6.6784,-6.7681,-6.1917
26,Forest1,6,767.32,777.32,-4.834,-5.6386,-6.3536,-6.1915,-5.7462,-5.822,-5.9146,-5.4656,-4.7709,-5.6715,-6.5333,-6.2113,-5.4849,-5.4746,-6.0061,-5.165,-4.8416,-5.6917,-6.4729,-6.2353,-5.6333,-5.655,-5.9937,-5.3286,-5.707,-6.2613,-7.071,-6.6613,-6.2314,-6.5152,-6.4755,-6.0392,-5.6112,-6.2372,-7.0515,-6.5754,-5.9932,-6.4161,-6.4112,-5.8436,-5.654,-6.2485,-7.0606,-6.614,-6.0901,-6.4602,-6.4405,-5.9255,-5.5768,-6.2766,-7.0646,-6.707,-6.2138,-6.4388,-6.5103,-6.0008,-5.2231,-5.9405,-6.6994,-6.4211,-5.8483,-5.9393,-6.187,-5.5785,-5.1884,-5.9519,-6.8327,-6.4457,-5.7064,-5.78,-6.2544,-5.4284,-5.2498,-5.9857,-6.8017,-6.463,-5.8151,-5.9029,-6.2536,-5.5437,-5.7077,-6.206,-7.1093,-6.5923,-5.8126,-5.9543,-6.4331,-5.5606,-5.8847,-6.4619,-7.3564,-6.8567,-6.4078,-6.715,-6.6929,-6.22
26,Forest1,7,772.32,782.32,-4.8053,-5.6607,-6.4478,-6.2127,-5.7159,-5.7031,-5.9658,-5.3933,-4.7663,-5.7248,-6.5687,-6.2586,-5.5187,-5.4586,-6.0549,-5.1696,-4.8256,-5.7296,-6.5418,-6.2679,-5.6433,-5.6048,-6.0427,-5.3064,-5.5722,-6.2963,-7.1113,-6.5898,-6.2008,-6.5137,-6.4412,-6.0198,-5.5403,-6.2617,-6.9692,-6.5335,-6.0214,-6.3929,-6.3636,-5.857,-5.5551,-6.2778,-7.0308,-6.5593,-6.0973,-6.446,-6.3986,-5.9266,-5.5593,-6.3067,-7.0917,-6.7044,-6.2089,-6.4207,-6.519,-5.9871,-5.1359,-5.9637,-6.7591,-6.4659,-5.8452,-5.8497,-6.2346,-5.5333,-5.0631,-5.9595,-6.7826,-6.4336,-5.7502,-5.7251,-6.224,-5.4213,-5.1442,-6.0044,-6.809,-6.4828,-5.8386,-5.8352,-6.265,-5.5216,-5.4812,-6.2208,-7.0346,-6.5271,-5.8092,-5.8745,-6.368,-5.5185,-5.8555,-6.5675,-7.361,-6.8432,-6.4181,-6.7171,-6.6897,-6.2319
26,Forest1,8,777.32,787.32,-5.2067,-5.9874,-6.7564,-6.4304,-5.762,-5.7505,-6.214,-5.4417,-5.0973,-6.0661,-6.7305,-6.3737,-5.6091,-5.4276,-6.1799,-5.19,-5.1853,-6.0602,-6.777,-6.4305,-5.7165,-5.6009,-6.2273,-5.3376,-5.7096,-6.5119,-7.2559,-6.6275,-6.2682,-6.5362,-6.5006,-6.0698,-5.7636,-6.4105,-7.0887,-6.5752,-6.1679,-6.3749,-6.4231,-5.9475,-5.7372,-6.4556,-7.16,-6.5992,-6.2126,-6.4439,-6.4581,-6.0012,-5.9024,-6.5256,-7.2827,-6.7598,-6.2928,-6.4264,-6.61,-6.0396,-5.3977,-6.2109,-6.9282,-6.6112,-5.9192,-5.881,-6.3894,-5.5825,-5.2917,-6.2797,-6.9407,-6.5576,-5.8459,-5.7572,-6.3563,-5.4829,-5.3889,-6.2841,-6.9749,-6.6103,-5.926,-5.8668,-6.4043,-5.5787,-5.6337,-6.479,-7.0905,-6.6028,-5.8956,-5.8983,-6.4351,-5.5768,-5.9422,-6.7341,-7.3867,-6.8916,-6.5273,-6.7433,-6.7269,-6.3113
26,Forest1,9,782.32,792.32,-4.399,-5.8522,-6.6898,-6.3958,-5.6995,-5.8071,-6.1554,-5.4401,-4.4571,-5.9374,-6.7852,-6.3553,-5.5598,-5.5169,-6.1616,-5.2202,-4.4636,-5.9286,-6.7717,-6.4071,-5.6618,-5.6787,-6.1916,-5.3555,-5.0811,-6.4081,-7.3332,-6.6709,-6.2519,-6.487,-6.5182,-6.0429,-5.0875,-6.3292,-7.0927,-6.6502,-6.1173,-6.4419,-6.459,-5.9398,-5.0844,-6.3648,-7.1903,-6.6599,-6.1759,-6.4627,-6.4861,-5.9856,-5.2688,-6.464,-7.2406,-6.8333,-6.261,-6.4718,-6.6307,-6.0429,-4.6533,-6.1045,-6.9054,-6.5845,-5.9055,-5.9361,-6.3496,-5.6075,-4.5185,-6.0996,-6.9626,-6.5476,-5.7969,-5.8852,-6.3475,-5.5265,-4.6309,-6.1458,-6.9709,-6.5964,-5.8919,-5.9607,-6.3819,-5.6122,-4.8099,-6.3233,-7.1561,-6.6701,-5.8631,-6.0604,-6.4754,-5.6388,-5.2046,-6.6348,-7.5297,-6.9518,-6.4783,-6.7345,-6.7741,-6.279
26,Forest1,10,787.32,797.32,-4.2827,-5.7069,-6.5919,-6.2309,-5.6092,-5.7621,-5.9882,-5.3623,-4.4063,-5.8068,-6.6902,-6.2903,-5.5641,-5.5932,-6.0683,-5.2586,-4.3771,-5.7911,-6.6745,-6.293,-5.6224,-5.7094,-6.0612,-5.3454,-5.019,-6.3238,-7.1503,-6.6807,-6.1448,-6.4697,-6.4962,-5.968,-5.0388,-6.2985,-6.9819,-6.4856,-5.9992,-6.427,-6.3175,-5.8497,-5.0293,-6.3103,-7.0536,-6.5673,-6.0622,-6.4467,-6.3931,-5.9017,-5.1587,-6.3434,-7.0721,-6.718,-6.1567,-6.4905,-6.497,-5.9808,-4.5611,-5.9778,-6.7897,-6.4852,-5.7815,-5.9034,-6.2314,-5.5218,-4.474,-5.9996,-6.8322,-6.4566,-5.7143,-5.8757,-6.2279,-5.4718,-4.566,-6.0333,-6.8467,-6.5043,-5.7899,-5.9414,-6.2651,-5.5431,-4.7486,-6.1749,-7.0053,-6.6105,-5.7958,-6.0278,-6.4006,-5.5796,-5.1459,-6.5664,-7.3967,-6.8912,-6.3516,-6.6977,-6.7167,-6.1814
